start,gamma,K,J,pJ,se_gamma
"(0.005, 0.05)",2.5978637118882313,0.2049367806372815,327.99527603638677,6.096767153141204e-63,0.1839092572760149
"(0.005, 0.15)",2.5978630956051965,0.2049367809301016,327.99527604567186,6.096767125694268e-63,0.18390921315454678
"(0.005, 0.24)",2.597863781452837,0.20493678097653448,327.9952760239615,6.096767189870657e-63,0.18390926386174725
"(0.02, 0.05)",2.5978631560658316,0.2049367800725025,327.9952760308368,6.09676716954703e-63,0.18390921462020549
"(0.02, 0.15)",2.597863705959177,0.20493678015360645,327.9952760187442,6.096767205292979e-63,0.18390925585893114
"(0.02, 0.24)",2.5978659048855848,0.20493678026801132,327.99527602678205,6.096767181532924e-63,0.1839094172295393
"(0.05, 0.05)",2.597864268881148,0.20493678063050047,327.9952760407376,6.096767140280108e-63,0.18390929811894127
"(0.05, 0.15)",2.5978633045440356,0.20493678045357816,327.99527601794466,6.096767207656426e-63,0.1839092269332623
"(0.05, 0.24)",2.5978640027447817,0.20493678040877822,327.9952760246239,6.096767187912541e-63,0.18390927840556112
