bookie,n,gamma_K0,J_K0,p_K0,gamma_K020,gamma_Kbound,K_bound,J_Kbound,p_Kbound,spread_g,J_spread_ueber_K
10Bet,5540,0.008326171874999998,9.027785200164818,0.7708418204768204,-0.5375486484019008,2.304819020533983,0.1984527079474651,12.09570333823622,0.4380245273245073,7.110121629239075e-07,1.584278844578602
10x10bet,11036,0.006093749999999985,14.34726738268954,0.34985021512706854,0.374572130090557,0.021947113970046683,0.17412448154855592,14.414294287032398,0.2750380059590085,9.080164672242708e-09,8.361771585046103
1xBet,13105,0.004312499999999988,13.139482563109054,0.4370963195939664,-0.25109343953734203,2.9324878900024336,0.1973865905713835,13.72491018088413,0.3186189170435415,7.028901860550718e-07,0.46217355032163
888sport,5451,0.00391874999999999,13.770992156760338,0.39016733973897055,-0.041861731919279374,0.003898510993343953,1.33277983528771e-13,13.770911739457706,0.3155761153843802,2.5320161635769556e-10,5.672100739897218
Alphabet,11320,0.0064187499999999835,9.7998429210369,0.7102142807004135,0.12129333263736289,0.005462278313147293,0.06718815570078385,10.215573512696269,0.5970548401557381,8.64001907779216e-09,5.470797068257035
BetInAsia,6369,0.0017718749999999775,5.161181330880475,0.9714713459523698,0.039254927729384576,0.030310390974898273,0.21019877052104927,3.7497351513323958,0.9875406669683876,1.6910665263936142e-09,1.8041258933532136
BetVictor,5544,0.0025812499999999915,15.336927816984373,0.28679382904087786,0.03832545460718399,63.166190020286436,0.21192555633117197,21.1489228090185,0.048241777732607696,0.060097366338446534,1.889245040284056
Betfair,3520,0.005505468749999987,14.92713966841166,0.3119233599392281,0.24646858319214787,,,,,,23.399705705446152
Betfred,4829,0.005343749999999989,10.481296311349622,0.654182594655989,0.1962167899931767,4.1641405830087646,0.20677798506340958,11.952197817337295,0.4495263153662634,3.190902111427363e-06,4.1110993788296994
Betsafe,4485,0.00591484374999998,13.67532305002704,0.3971000899766056,0.12689922587201574,3.2581212308387326,0.21194740675345378,24.294227344426083,0.018545097726198705,2.0762669410423484e-06,22.08152488514485
Betsson,4502,0.006468749999999985,14.44962852816321,0.3429578017362254,0.14440209613250538,3.1003225722838055,0.2125332162004403,22.44856559784463,0.032789387607857545,5.189023060125919e-07,22.043303092222278
Betway,8062,0.004387499999999981,17.381281720322026,0.18245507944957476,-0.035702981709956824,139.34425088977622,0.21106133193234797,36.11103553850648,0.00031094281952556073,1.6804394434280425,4.0592096469700465
ComeOn,7957,0.00621562499999999,11.591420934273646,0.5613976261663068,3.8869269121436236,4.60728769520168,0.20078585622772901,12.165272035554391,0.43249943264336416,2.146842998484999e-06,1.442068854837041
Curebet,7219,0.006264843749999987,11.646979857933692,0.5567820153442843,0.5390209117350027,6.311046967810542,0.20347509165212024,16.460764129252027,0.17103161194239025,8.29993210160751e-07,6.087115453223236
Dafabet,3656,0.012403125000000008,11.551777943541243,0.5646950410614348,-0.015723103302027086,,,,,,8.521534159150285
GGBET,11585,0.0013781249999999762,9.828172017880089,0.7079213655004972,0.0008954763046888766,0.003874806638426694,0.15791435721313116,9.733274721758352,0.6393473927049853,1.0539220164987317e-09,0.35401283206811485
Interwetten,5620,0.0077874999999999915,25.609194468568045,0.019174477315746702,17.74977755955424,17.61824738615052,0.19994262985310074,24.433512227526425,0.017747553900899698,8.078728779992161e-05,2.318159596787279
Lasbet,11210,0.0037609374999999917,10.30528849915,0.6687995521635581,0.11491269022090972,0.04477288681271349,0.17238870097152922,9.067102342066995,0.6971885625339163,5.8175513018010605e-09,3.164339710161748
Marathonbet,12078,0.006728906249999989,13.728595850874044,0.39323150504444615,-0.14092488224328564,,,,,,7.855578044468329
NordicBet,4487,0.006918749999999984,12.598596727009115,0.4792728219220248,-0.029184794172175697,5.295819527069813,0.21302717667285798,17.114377555386902,0.14534522979428668,2.1354901953429817e-06,6.6876188188887475
Pinnacle,8653,0.0019999999999999792,8.456883372252221,0.8126150491470996,0.03180084217404457,9.16465101326279,0.21471239712882384,7.2025159634608515,0.8439452924617274,7.682646641526958e-06,0.37358618265508703
Suprabets,11124,0.005793749999999981,11.722902574040043,0.5504862812605538,0.30472021307440783,0.02987370223397913,0.1824673058732875,11.49116926893561,0.4873589056363681,5.576027153897378e-09,3.9088775511762464
VOBET,11395,0.0057031249999999825,11.981579177596728,0.5291549453874432,0.12529644452943828,0.04714259446442407,0.17689974881270265,10.28131552973447,0.5912958489768889,0.011767957158484998,2.7680665274471608
Vulkan Bet,4463,0.0034999999999999745,9.956375881646784,0.6974977196093044,0.01472075523749632,0.017624183968834486,0.1780474254584827,8.89637307579549,0.7117551572396075,3.5303178227974463e-09,2.5822182483724525
