,sd_gamma_draw
count,20000.0
mean,0.007849314300279955
std,0.00171384389536762
min,0.0037133222577770413
25%,0.0066259076917574815
50%,0.007722665640787384
75%,0.008919813889188206
max,0.020231982999767653
