K_fest,gamma,se,J,pJ,df
0.0,0.004814002100627617,0.00043412720336547965,58.501503477265,9.721052809202604e-08,13
0.05,0.006327091903639349,0.0005748263074293363,59.632777149300416,6.11044873274282e-08,13
0.1,0.009185543928773405,0.0008498618002558626,62.010824732138325,2.2890622882672605e-08,13
0.15,0.016326251398017445,0.001621423153601483,69.5984319935678,9.515762749306039e-10,13
0.2,0.02058704792283827,0.00842811828796642,172.21005324443536,6.55854717034046e-30,13
0.25,-0.021357826617275803,0.001879562040470209,49.70898630999734,3.344411032538287e-06,13
