Fenster,Variante,OddsMvt46,OddsMvt41,OddsMvt36,OddsMvt31,OddsMvt26,OddsMvt50,OddsMvt45,OddsMvt40,OddsMvt35,OddsMvt30
V1 matchweit,A 46/41/36/31/26 (aktuell),24.42915182063092,11.091618145476666,5.224537238202833,2.696184930911619,1.463239767098288,,,,,
V1 matchweit,B 50/45/40/35/30 (voll),,,,,,90.47916485617449,20.617341618145478,9.433388372295125,4.5227904753628225,2.3550882071782393
V2 serieneigen,A 46/41/36/31/26 (aktuell),0.0,0.0,0.0,0.0,0.0,,,,,
V2 serieneigen,B 50/45/40/35/30 (voll),,,,,,33.382397670982876,0.0,0.0,0.0,0.0
