spec,Q,df,p,I2,tau,sd_gamma,mean_se,n_excl,pairs_sig,pairs_tot,gamma_pooled
V1|A  (publizierte Fassung),23.938933053251368,23,0.4071964469425291,3.922200923335817,0.0004103826392138018,0.00239130636345549,0.0022132611557712715,2,12,276,0.004812499999999987
V2|B  (Kandidat),18.162057969375894,23,0.7486405218729418,0.0,0.0,0.0022715271214620576,0.0024230938310872757,0,5,276,0.0035546874999999875
