x,beta_1,se,ci_lo,ci_up,hours,rel_pos
-3.4011973816621555,1.018429228725854,0.11999289819800497,0.7832474698571832,1.253610987594525,0.03333333333333333,1.0
-3.363089331687975,1.0021311705655545,0.12013709742655382,0.7666667864023293,1.2375955547287796,0.03462811579416991,1.0
-3.3249812817137947,0.9834753305844122,0.11974119448830461,0.7487869019215291,1.2181637592472951,0.03597319210363317,1.0
-3.286873231739614,0.9627209958326772,0.11882331561861735,0.7298315766965515,1.195610414968803,0.03737051584951585,1.0
-3.2487651817654335,0.9401275689682547,0.11741446805686724,0.7099994403128662,1.1702556976236431,0.038822116503746895,1.0
-3.210657131791253,0.9159544526160661,0.11555597140283623,0.6894689104679667,1.1424399947641655,0.04033010236999507,1.0
-3.1725490818170727,0.890461049451051,0.113297691700062,0.6684016541874068,1.112520444714695,0.04189666364576745,1.0
-3.134441031842892,0.863906762107177,0.11069684327277474,0.6469449360902635,1.0808685881240905,0.04352407560345072,1.0
-3.0963329818687115,0.8365509932381197,0.10781719787504006,0.6252331684890127,1.0478688179872266,0.04521470189491492,1.0
-3.0582249318945314,0.8086531454870305,0.10472856923330513,0.6033889216373428,1.013917369336718,0.0469709979844796,1.0
-3.0201168819203508,0.780472621508197,0.10150644917812904,0.5815236369205187,0.9794216060958753,0.04879551471522844,1.0
-2.98200883194617,0.7522697450214131,0.09823197259697208,0.5597386166010223,0.9448008734418039,0.05069090201385157,1.0
-2.9439007819719896,0.7243445906003303,0.09500343858603726,0.5381412725642344,0.9105479086364262,0.052659912739397186,1.0
-2.9057927319978094,0.6970512756720253,0.09193333826959388,0.5168652436850835,0.8772373076589671,0.054705406681521844,1.0
-2.867684682023629,0.6707477819299901,0.08912292307377964,0.4960700625084482,0.8454255013515319,0.05683035471404684,1.0
-2.829576632049448,0.6457920910970354,0.08665377185766149,0.4759538191314684,0.8156303630626024,0.05903784310985292,1.0
