pctl,beta_1,se,ci_lo,ci_up
1.0,1.2888703633144274,0.03781599387225867,1.2147523772852131,1.3629883493436417
1.4924623115577889,1.282893166825041,0.036281056740702186,1.2117836022922106,1.3540027313578713
1.984924623115578,1.276920190950594,0.034776987978914126,1.20875854702114,1.3450818348800482
2.477386934673367,1.270954370679135,0.03330844846573066,1.2056710113053946,1.3362377300528756
2.969849246231156,1.2649993028917934,0.03188071473516108,1.2025142502094823,1.3274843555741045
3.462311557788945,1.259059177204679,0.030499657002771956,1.1992809479384212,1.318837406470937
3.9547738693467336,1.2531387070666937,0.02917170126971462,1.1959632232102917,1.3103141909230958
4.447236180904523,1.2472430612456389,0.02790376725454118,1.19255268239375,1.3019334400975278
4.939698492462312,1.2413777958498016,0.026703171845881633,1.1890405407588895,1.2937150509407136
5.432160804020101,1.2355487870447959,0.025577486201253403,1.185417835275269,1.2856797388143228
5.92462311557789,1.2297621646361625,0.024534334428393898,1.1816757527718493,1.2778485765004757
6.417085427135678,1.2240242466969269,0.023581124241271418,1.1778060924690705,1.2702424009247832
6.909547738693467,1.2183414754260493,0.02272470652050215,1.1738018690866225,1.262881081765476
7.402010050251256,1.2127203544287994,0.021970972370732908,1.1696580398768384,1.2557826689807605
7.894472361809044,1.2071673876133715,0.021324412745444235,1.165372306640834,1.248962468585909
8.386934673366834,1.2016890198989887,0.020787684276972484,1.160945907394133,1.2424321324038443
8.879396984924623,1.1962915799306575,0.020361240059907665,1.1563842827326642,1.2361988771286507
9.37185929648241,1.1909812249935463,0.020043088645788663,1.1516974931088568,1.2302649568782358
9.864321608040202,1.1857638883164598,0.019828732850752914,1.146900286069918,1.2246274905630017
10.356783919597989,1.1806452289486313,0.019711312009713017,1.142011767321562,1.2192786905757007
10.84924623115578,1.1756305843873889,0.019681934098050458,1.137054702409119,1.2142064663656587
11.341708542713567,1.1707249261264283,0.01973014959825832,1.1320545435042546,1.209395308748602
11.834170854271358,1.1659328182848028,0.019844498184151134,1.1270383165525961,1.2048273200170094
12.326633165829145,1.1612583794664002,0.020013057134344266,1.122033508262543,1.2004832506702574
12.819095477386936,1.1567052479876825,0.02022393414994504,1.1170670654280805,1.1963434305472844
13.311557788944725,1.1522765505994088,0.02046566935060272,1.1121645757527223,1.1923885254460953
13.804020100502514,1.1479748748137462,0.02072753360082399,1.1073496554677873,1.188600094159705
14.296482412060302,1.1438022449333076,0.020999727606808353,1.1026435351388117,1.1849609547278035
14.78894472361809,1.1397601018639247,0.021273496551957035,1.098064814796852,1.1814553889309976
15.281407035175882,1.1358492867764975,0.021541179126097893,1.0936293515048197,1.1780692220481754
15.77386934673367,1.1320700286668195,0.02179620954352432,1.0893502429620237,1.1747898143716153
16.26633165829146,1.1284219358451684,0.022033088510552145,1.0852378758963028,1.171605995794034
16.758793969849247,1.1249039913697705,0.02224733559988062,1.0813000148420286,1.1685079678975123
17.251256281407038,1.1215145524207029,0.022435432040955997,1.0775419136428332,1.1654871911985725
17.743718592964825,1.1182513535927752,0.02259475999109524,1.073966437770902,1.1625362694146484
18.236180904522612,1.1151115140678092,0.02272354204700125,1.0705741900545052,1.1596488380811132
18.728643216080403,1.1120915486089031,0.022820783056921434,1.0673636357183351,1.1568194614994711
19.221105527638194,1.1091873823012226,0.022886215094447028,1.0643312249736694,1.1540435396287758
19.71356783919598,1.1063943689470697,0.022920245634704524,1.0614715129862373,1.151317224907902
20.20603015075377,1.103707313004243,0.022923908424466236,1.0587772781073947,1.1486373479010912
20.69849246231156,1.1011204949406397,0.022898816171749548,1.0562396399554073,1.146001349925872
21.190954773869347,1.0986276998617142,0.022847113936381783,1.0538481793957226,1.1434072203277057
21.683417085427138,1.0962222492514995,0.022771431940337268,1.0515910627720333,1.1408534357309656
22.175879396984925,1.0938970356527564,0.0226748364143244,1.0494551729253432,1.1383388983801697
22.668341708542716,1.0916445600974933,0.022560777050823204,1.047426249614642,1.1358628705803446
23.160804020100503,1.0894569720857261,0.02243302965327168,1.0454890419011946,1.1334249022702576
23.653266331658294,1.0873261118975623,0.022295632678045994,1.043627474836058,1.1310247489590668
24.14572864321608,1.085243555012231,0.022152816590031602,1.0418248323396477,1.1286622776848143
24.63819095477387,1.0832006583970504,0.022008925327073964,1.040063957417554,1.1263373593765467
25.13065326633166,1.0811886084198958,0.021868329721442772,1.0383274697638212,1.1240497470759705
25.62311557788945,1.0791984701304655,0.021735333470097613,1.0365979993371062,1.121798940923825
26.115577889447238,1.07722123764847,0.02161407316433083,1.034858432687168,1.119584042609772
26.60804020100503,1.0752478853907093,0.0215084149268545,1.0330921667695308,1.1174036040118878
27.10050251256282,1.073269419864915,0.021421851256702002,1.031283362919605,1.1152554768102252
27.592964824120603,1.0712769317545265,0.02135740260182406,1.0294171918516293,1.1131366716574238
28.085427135678394,1.0692616480168147,0.02131752879181536,1.027480059345461,1.1110432366881684
28.57788944723618,1.0672149837159195,0.02130405560183578,1.0254598020116825,1.1089701654201565
29.070351758793972,1.0651285933131833,0.021318121267034897,1.0233458434117375,1.1069113432146291
29.562814070351763,1.0629944211390685,0.021360146699682683,1.0211293029031983,1.1048595393749387
30.05527638190955,1.0608047507743983,0.02142983156969225,1.018803052703042,1.1028064488457545
30.54773869346734,1.0585522530732512,0.02152617649444069,1.0163617224192947,1.1007427837272077
31.040201005025125,1.0562300325659197,0.021647529619386253,1.0138016541576587,1.0986584109741808
31.532663316582916,1.0538316719877938,0.021791654141971095,1.0111208147059774,1.0965425292696103
32.02512562814071,1.0513512746876466,0.02195581206931371,1.008318673780462,1.0943838755948312
32.517587939698494,1.0487835046795473,0.022136858836454283,1.0053960586292496,1.092170950729845
33.01005025125628,1.046123624113344,0.022331343358979766,1.002354995403346,1.0898922528233421
33.502512562814076,1.0433675279503485,0.022535608561758243,0.9991985467996098,1.0875365091010871
33.99497487437186,1.0405117756441773,0.022745888258327567,0.9959306538614827,1.0850928974268719
34.48743718592965,1.0375536196406945,0.022958397275552885,0.9925559878378484,1.0825512514435407
34.97989949748744,1.034491030526131,0.0231694127641945,0.9890798159653672,1.079902245086895
35.472361809045225,1.0313227186682776,0.02337534558657516,0.985507883192413,1.0771375541441421
35.96482412060302,1.0280481522124927,0.023572801454236895,0.9818463103474749,1.0742499940775103
36.45728643216081,1.0246675713116118,0.023758632072072836,0.9781015081284108,1.0712336344948128
36.949748743718594,1.0211819984869315,0.023929976935092037,0.9742801055432769,1.0680838914305861
37.44221105527639,1.0175932450363827,0.024084296644774166,0.9703888910196465,1.0647975990531189
37.93467336683417,1.0139039134246708,0.024219398698279625,0.9664347642488265,1.0613730626005151
