pctl,beta_1,se
1.0,1.2878702247259,0.03784667176568954
1.4924623115577889,1.281910666381803,0.03631023257189861
1.984924623115578,1.2759553124644727,0.03480467054815253
2.477386934673367,1.270007086743918,0.03333464935566398
2.969849246231156,1.2640695723699884,0.03190544897703035
3.462311557788945,1.2581469429712324,0.03052294381603339
3.9547738693467336,1.2522438940013505,0.029193564891063468
4.447236180904523,1.2463655744656896,0.027924237867546674
4.939698492462312,1.2405175191750137,0.0267222866115037
5.432160804020101,1.234705581686383,0.02559529036953552
5.92462311557789,1.228935868101701,0.024550882479998436
6.417085427135678,1.2232146719031685,0.02359648096353504
6.909547738693467,1.2175484100116378,0.022738947870057022
7.402010050251256,1.2119435602589357,0.02198418592432768
7.894472361809044,1.2064066004685203,0.02133669751180216
8.386934673366834,1.200943949339766,0.0207991496597935
8.879396984924623,1.1955619093310774,0.02037200384506529
9.37185929648241,1.1902666117348593,0.020053274034597713
9.864321608040202,1.18506396413385,0.019838464745984462
10.356783919597989,1.1799596004230917,0.01972071292618933
10.84924623115578,1.1749588335751426,0.019691120156657558
11.341708542713567,1.1700666113183078,0.019739227039502115
11.834170854271358,1.165287474888052,0.01985356071698802
12.326633165829145,1.1606255210014202,0.020022184265104437
12.819095477386936,1.1560843671922885,0.02023319047093724
13.311557788944725,1.1516671206332334,0.02047510464868625
13.804020100502514,1.1473763505554713,0.02073718358671349
14.296482412060302,1.1432140643634865,0.021009615058232716
14.78894472361809,1.139181687526205,0.02128363268978576
15.281407035175882,1.1352800473101383,0.02155156508364335
15.77386934673367,1.1315093604034603,0.02180683783190819
16.26633165829146,1.1278692244628905,0.02204394441981314
16.758793969849247,1.1243586135975674,0.02225839850364058
17.251256281407038,1.1209758777865586,0.022446676592076723
17.743718592964825,1.1177187462086486,0.02260615720830711
18.236180904522612,1.1145843344448993,0.022735060299737805
18.728643216080403,1.1115691554966831,0.022832388959190885
19.221105527638194,1.1086691345438195,0.02289787431977478
19.71356783919598,1.1058796273506806,0.02293192366391005
20.20603015075377,1.1031954422093855,0.022935571236877676
20.69849246231156,1.1006108652931514,0.02291043088877778
21.190954773869347,1.0981196892765386,0.02285864942436791
21.683417085427138,1.095715245063417,0.022782859377322266
22.175879396984925,1.0933904364483553,0.0226861298228996
22.668341708542716,1.0911377775228057,0.02257191379647583
23.160804020100503,1.0889494326240996,0.022443990904652586
23.653266331658294,1.08681725861248,0.022306403822383032
24.14572864321608,1.0847328492499488,0.02216338759360761
24.63819095477387,1.0826875814440728,0.022019291027501303
25.13065326633166,1.0806726631104737,0.02187849003573275
25.62311557788945,1.078679182399472,0.0217452935007252
26.115577889447238,1.076698158025173,0.021623843185170667
26.60804020100503,1.0747205904291481,0.021518010232591808
27.10050251256282,1.0727375135067603,0.02143129186351787
27.592964824120603,1.070740046620501,0.02136671279397899
28.085427135678394,1.0687194466229384,0.021326736517907
28.57788944723618,1.066667159611041,0.021313191735181064
29.070351758793972,1.0645748721344674,0.021327218755543206
29.562814070351763,1.0624345615823094,0.021369239640182624
30.05527638190955,1.0602385454762469,0.021438954248426113
30.54773869346734,1.057979529402658,0.02153536243822511
31.040201005025125,1.0556506533223156,0.021656810700300837
31.532663316582916,1.0532455360037574,0.021801059772723928
32.02512562814071,1.0507583173340338,0.021965368517655928
32.517587939698494,1.0481836982712933,0.022146588676620914
33.01005025125628,1.0455169782143812,0.022341265067618077
33.502512562814076,1.042754089576324,0.022545736256435092
33.99497487437186,1.0398916293618994,0.022756231569325096
34.48743718592965,1.0369268875634727,0.02296896133662549
34.97989949748744,1.0338578722044327,0.02318019830521841
35.472361809045225,1.0306833308753611,0.02338634911023238
35.96482412060302,1.0274027686249374,0.02358401547956113
36.45728643216081,1.0240164620849095,0.02377004542933725
36.949748743718594,1.020525469726561,0.023941575098693123
37.44221105527639,1.0169316381650388,0.024096062093109764
37.93467336683417,1.0132376044465705,0.02423131129188802
38.42713567839196,1.009446794272649,0.024345494062810273
38.91959798994975,1.005563416136631,0.024437161748638112
39.41206030150754,1.0015924513670098,0.024505254170646383
39.90452261306533,0.9975396400919171,0.02454910375419314
40.39698492462312,0.9934114631595528,0.024568435733389352
40.88944723618091,0.9892151200692504,0.024563364744855026
41.381909547738694,0.9849585029877514,0.024534387979484144
41.87437185929648,0.980650166944773,0.024482374929088224
42.366834170854275,0.9762992963211751,0.024408553643966838
42.85929648241206,0.9719156677617298,0.024314493310118694
43.35175879396985,0.9675096096627245,0.02420208286429747
43.844221105527645,0.9630919584022183,0.02407350529649441
44.33668341708543,0.9586740114970906,0.02393120724961615
44.82914572864322,0.9542674778875889,0.02377786352522273
45.321608040201006,0.9498844255653778,0.023616336153302466
45.814070351758794,0.9455372267746722,0.023449627795671515
46.30653266331659,0.9412385010295042,0.023280829439162317
46.798994974874375,0.9370010562020417,0.023113062604595103
47.29145728643216,0.9328378279479742,0.02294941665244739
47.78391959798996,0.9287618177444951,0.022792882196968116
48.27638190954774,0.924786029824953,0.022646282123565346
48.76884422110553,0.9209234073013258,0.022512202199175876
49.26130653266332,0.9171867677714896,0.022392923715646943
49.753768844221106,0.9135887387126022,0.022290360944429616
50.2462311557789,0.910141692964903,0.02220600633802067
50.73869346733668,0.9068576846123236,0.022140886331987155
51.231155778894475,0.9037483855659271,0.022095530249767348
51.72361809045226,0.9008250231551294,0.022069954196233102
52.21608040201006,0.8980983190289271,0.022063660994093907
52.70854271356784,0.8955784296653959,0.022075656256298804
53.20100502512564,0.8932748887820404,0.022104479708708328
53.69346733668342,0.8911965519327868,0.022148249995612497
54.185929648241206,0.8893515435690829,0.02220472051373233
54.678391959799,0.887747206832957,0.022271343391380996
55.17085427135678,0.886390056339024,0.022345338578880207
55.66331658291458,0.8852857341902455,0.022423765123592877
56.15577889447236,0.8844389694586524,0.02250359201618944
56.64824120603016,0.8838535413483388,0.022581766444951027
57.140703517587944,0.8835322462428288,0.02265527781039485
57.633165829145725,0.8834768688206324,0.022721216370485048
58.125628140703526,0.8836881574067176,0.022776825858896878
58.618090452261306,0.8841658037088497,0.022819549815798264
59.1105527638191,0.8849084270687342,0.022847071678422433
59.60301507537689,0.8859135633378592,0.022857348896462116
60.09547738693468,0.887177658467611,0.022848641472567755
60.58793969849246,0.8886960668822138,0.02281953539324355
61.08040201005025,0.8904630546815832,0.022768961423798993
61.572864321608044,0.892471807699529,0.022696209705551286
