pctl,baseline,continuous_k6,diff_k6,continuous_k20,diff_k20,approx_sd_diff
2,2.591474227144837,1.276737563799427,-1.31473666334541,1.5286308314052328,-1.0628433957396042,0.255700275975229
4,1.5804369785889865,1.2525972702055763,-0.32783970838341014,1.212905705391075,-0.36753127319791146,0.11028344737803081
6,1.467120253934065,1.2288839118903612,-0.23823634204370392,0.9933305100218334,-0.4737897439122317,0.06653158133430327
8,1.5041588880568433,1.2059934516745752,-0.2981654363822681,0.9229425045770524,-0.5812163834797909,0.11386677443625466
10,1.485253923721853,1.184353645429405,-0.3009002782924479,1.0074528153147804,-0.4778011084070726,0.10989074285222485
12,1.4305575805053437,1.1643587725602387,-0.266198807945105,1.18589530398016,-0.24466227652518358,0.09352671398806839
14,1.450879860535605,1.1463143384327554,-0.3045655221028496,1.3495452699505863,-0.1013345905850187,0.07735075253172724
16,1.429150576032559,1.1303948840038165,-0.2987556920287424,1.3985763337253085,-0.030574242307250366,0.04454988270077299
18,1.4283583964878095,1.1166173554726397,-0.31174104101516975,1.304382051675323,-0.12397634481248643,0.056582123568259944
20,1.381974764390061,1.1048314894701194,-0.2771432749199416,1.1303426900089417,-0.25163207438111934,0.054070668727442046
22,1.3449402553987977,1.094727469080879,-0.25021278631791866,0.9874107055940105,-0.35752954980478724,0.04850391165828224
24,1.311588161190867,1.0858598218456454,-0.22572833934522163,0.9524324622569216,-0.3591556989339455,0.04511473208004734
26,1.2706242809586998,1.0776852820064893,-0.19293899895221056,1.0134555842573902,-0.2571686967013096,0.04358702967091267
28,1.2583775371566424,1.0696112380529486,-0.1887662991036938,1.0887908798252026,-0.16958665733143974,0.039111391586778906
30,1.2270464936437382,1.061050530101045,-0.16599596354269308,1.103352093701371,-0.1236943999423672,0.0382738908606669
32,1.2121072367775851,1.0514778255703072,-0.16062941120727792,1.0527364457070785,-0.15937079107050667,0.03768185812755515
34,1.2078778332490905,1.0404815903788356,-0.1673962428702549,0.9961626272273633,-0.21171520602172722,0.03692532626042749
36,1.2025179243843471,1.0278066821481442,-0.17471124223620293,0.9881393799828735,-0.21437854440147364,0.03774397752638646
38,1.1876737408018152,1.0134016202450673,-0.1742721205567479,1.019061196501313,-0.1686125443005022,0.03693528984874409
40,1.175524938339045,0.9974204293218583,-0.17810450901718666,1.0291815217022344,-0.1463434166368105,0.03670709080907446
42,1.174736659256134,0.9802267954358412,-0.19450986382029267,0.9791479710813109,-0.195588688174823,0.03635935995180075
44,1.1682630658537796,0.9623758047906599,-0.20588726106311972,0.9014924130613232,-0.2667706527924564,0.03564317285354767
46,1.1552386286228835,0.9445785882534155,-0.21066004036946806,0.8745204937365199,-0.28071813488636366,0.035388755500405475
48,1.142002323702597,0.9276521348360399,-0.214350188866557,0.9410741322081012,-0.2009281914944957,0.03493841827547447
50,1.1273477317077716,0.9124577814368239,-0.2148899502709477,1.055430657557075,-0.07191707415069648,0.03329688793631804
52,1.1282753423422618,0.8998328779351343,-0.22844246440712745,1.1166144976935621,-0.011660844648699653,0.03290289529554668
54,1.119040960187915,0.8905207863396378,-0.22852017384827716,1.059167875987402,-0.05987308420051307,0.031446780651876
