Zelle,n_Serien,n_Gitterpunkte,beta_1_mean_nativ,beta_1_mean_common,beta_1_min,beta_1_max,beta_1_Anfang,beta_1_Ende,beta_1_bei_50,Anteil_ueber_1
"A  Baseline/imputiert, alle Serien",174392,50,1.2203436434638772,1.2242012277919658,1.03132201138754,2.591474227144837,2.591474227144837,1.03132201138754,1.1273477317077716,1.0
"B  Baseline/imputiert, nur vollst. beob.",24568,50,1.2329226781048839,1.2344600862868251,1.1575896771897551,1.3079479015628588,1.2732639330796842,1.1575896771897551,1.2549530273447396,1.0
"C  kontinuierlich/echt, alle Serien",175266,200,1.0059634119369036,1.0058527507808979,0.7712822189192233,1.2888703633144274,1.2888703633144274,0.7712822189192233,0.9124577814368239,0.4489795918367347
"D  kontinuierlich/echt, nur vollst. beob.",24568,200,1.2004376723630552,1.2004775642025383,1.0868126191671723,1.2987216512942297,1.2987216512942297,1.0868126191671723,1.204616925070991,1.0
