edf,Ref.df,F,p-value,term,model,n
12.54767097043179,13.992640904248177,19.200887284631932,0.0,"te(X,DW)",M1  nur Verspätung,1292338
25.46667501419299,28.286890412473728,16.663249451829866,0.0,"te(X,DW):Exog",M1  nur Verspätung,1292338
12.857459845330522,14.30282014749618,21.513870759482234,0.0,"te(X,DW)",M1n te+te + log(NumOddsMvt),1292338
16.43396784014382,19.175462034634528,4.833655276177281,0.0,"te(X,NW)",M1n te+te + log(NumOddsMvt),1292338
24.381890313563996,27.22662220219262,8.293210219018649,0.0,"te(X,DW):Exog",M1n te+te + log(NumOddsMvt),1292338
25.057546737489023,28.13446187758444,11.016716598133495,0.0,"te(X,NW):Exog",M1n te+te + log(NumOddsMvt),1292338
15.298126092479443,17.37362193312841,15.08999477488766,0.0,"te(X,DW)",M1t te+te + TsDur,1292338
29.253511028744533,31.612961373827453,24.873858919449233,0.0,"te(X,TW)",M1t te+te + TsDur,1292338
24.513737998164665,27.382890581220497,8.833110631750275,0.0,"te(X,DW):Exog",M1t te+te + TsDur,1292338
27.607275010728213,29.195885555179288,41.80050562861305,0.0,"te(X,TW):Exog",M1t te+te + TsDur,1292338
