Quartil,n_Serien,n_Zeilen,Verspätung_Median_h,var_Exog,sd_Exog,mean_abs_Exog,mean_abs_Endbewegung,var_Endog,var_Exog_rel_Q1
Q1 (zeitgleich),46003,326835,0.0,0.002747645018465094,0.05241798373139789,0.03790822220243709,0.037715313625234115,0.20786433550255623,1.0
Q2,41881,336180,0.3,0.0024883220383852904,0.04988308368961657,0.03685526937094274,0.039120824560358515,0.21346975871098656,0.9056199114743475
Q3,43582,329785,1.2166666666666666,0.0019881886492272324,0.04458910908761502,0.032796007824093296,0.03510304184445044,0.21530566393107597,0.7235973482258222
Q4 (spät),43800,299538,4.866666666666666,0.0014326229231503174,0.03785000558983205,0.02677036377768792,0.02842708057679219,0.21405190351941894,0.5214002949881124
volle Stichprobe,175266,1292338,0.6166666666666667,0.0021817161822018697,0.04670884479626819,0.0337482229309722,0.03508041334338866,0.21270754493112828,0.7940313131936647
