Regressorsatz,R2_gesamt,R2_within,VIF_within,Rest_sd_rel
TsDur,0.00850430224377896,0.013870715333255235,1.014065818294751,0.9930404244877168
log(NumOddsMvt),0.006532936204145412,0.0035084552051629636,1.003520807801621,0.9982442310350894
TsDur + log(NumOddsMvt),0.0188595009406054,0.02123588090047579,1.0216966279066433,0.9893250826192188
TsDur + log(NumOddsMvt) + eig. Anteil,0.489487082166411,0.4635422484172539,1.8640796913636444,0.7324327624995663
