Variable,Pearson_gesamt,Spearman_gesamt,Pearson_within,Spearman_within
TsDur (z-std. eigene Dauer),0.09221877381411649,0.1345342756030007,0.11777400109215552,0.152644383412267
NumOddsMvt (Zahl der Bewegungen),-0.0751856222833869,-0.031889706686848124,-0.05409282644418069,-0.013754518222855677
log(NumOddsMvt),-0.08082658104946303,-0.031889706686848124,-0.05923221425172943,-0.013754518222855677
eigene Fensterlänge (h),0.09221877381411647,0.1345342756030007,0.11777400109215544,0.152644383412267
eigener Anteil am Matchup-Fenster,-0.6664229025285036,-0.6578617598289509,-0.6380845599069971,-0.6239435469402026
Matchup-Fensterlänge (h),0.36831861968960744,0.37546876470321255,0.37204342969339194,0.3663533507222507
