Quartil,Matchup_Fenster_h_Median,eigenes_Fenster_h_Median,eigenes_Fenster_h_Mittel,Anteil_am_Matchup_Fenster,NumOddsMvt_Median,Beob_je_Serie_Median
Q1 (zeitgleich),17.5,16.4,21.96436609206646,0.9390764563770512,6.0,6.0
Q2,20.566666666666666,18.75,25.490229857612437,0.9123686844281408,7.0,7.0
Q3,20.583333333333332,17.916666666666668,24.720430452939286,0.8747903136453111,7.0,7.0
Q4 (spät),37.583333333333336,21.85,26.832538432267885,0.7220514414114877,6.0,6.0
volle Stichprobe,21.25,18.083333333333332,24.70880851581786,0.8624731076099277,6.0,6.0
