incr,stuetzstellen,faktor_1,faktor_2,gamma_mittel,gamma_min,gamma_max,se_mittel,n_negativ,n_signifikant
1,"[50, 49, 48, 47, 46]",0.9803921568627451,0.98,0.0057156249999999915,-0.006181250000000048,0.025162500000000025,0.00948853642645231,7,1
2,"[49, 47, 45, 43, 41]",0.96,0.9583333333333334,0.0009307454427083082,-0.009858984375000057,0.009620312499999997,0.004793200365630262,10,1
3,"[48, 45, 42, 39, 36]",0.9387755102040817,0.9347826086956522,0.0034979003906249785,-0.0045539062500000406,0.009775390625,0.0033875360641639762,2,3
4,"[47, 43, 39, 35, 31]",0.9166666666666666,0.9090909090909091,0.003713899739583313,-0.0012500000000000293,0.009172656249999987,0.0026812719165273543,3,7
5,"[46, 41, 36, 31, 26]",0.8936170212765957,0.8809523809523809,0.005395751953124986,0.0013781249999999762,0.012403125000000008,0.0022132611557712715,0,16
6,"[45, 39, 33, 27, 21]",0.8695652173913043,0.85,0.004832975260416652,0.0001968749999999732,0.01284609374999999,0.0019094970774589037,0,16
8,"[43, 35, 27, 19, 11]",0.8181818181818182,0.7777777777777778,0.003985493977864571,-0.00045937500000002855,0.04073310546875006,0.001533890354263296,1,13
10,"[41, 31, 21, 11, 1]",0.7619047619047619,0.6875,0.003403019205729154,0.00037499999999997496,0.00900839843750007,0.0011672357635170037,0,19
