key,value
bm_quantile,25.0
ts_dur_from,12
ts_dur_till,72
iqr_rtrns,0.1207
n_obs,2952877
n_groups,585938
is_amateur,0.6328
is_pro,0.3672
frac_missings,0.0785
n_per,51
avg_gamma_gmm,0.0054
min_gamma_gmm,0.0014
max_gamma_gmm,0.0124
idxmax_gamma_gmm,Dafabet
idxmin_gamma_gmm,GGBET
adf_stat,-3.79
adf_p,0.056
bootstr_std,0.0307
bootstr_up,0.8808
bootstr_low,0.7604
