bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.009187499999999998,0.0027978492320187434,9.107478259784077,0.7647785801520846
10x10bet,0.004687499999999987,0.0016053940149860738,16.374431516561863,0.22950043212476967
1xBet,0.004999999999999987,0.0018861251601358386,13.236299053625643,0.4297294837445088
888sport,0.005499999999999988,0.002477163847220489,14.284769947929806,0.35409920081696344
Alphabet,0.004937499999999987,0.0015736133477573836,11.803549482448053,0.5438149563002969
BetInAsia,0.0016874999999999785,0.0022653059846733594,5.6550375200596,0.9578120157769995
BetVictor,0.0036874999999999833,0.0021879190559507935,15.864688713248452,0.25651389050220463
Betfair,0.0054374999999999875,0.0031669372549854727,14.919854408465499,0.3123827935152299
Betfred,0.00593749999999999,0.002949074506027425,10.52144881817557,0.6508382880596044
Betsafe,0.004187499999999985,0.0027663613505934256,16.826558172470364,0.20735464540579263
Betsson,0.004312499999999985,0.0027760030569784957,21.040776682649955,0.07212601848368227
Betway,0.0032499999999999825,0.002135570349664056,17.59583371522645,0.17347693211810278
ComeOn,0.00637499999999999,0.0022729047630270396,11.60302738013447,0.5604328495274041
Curebet,0.005062499999999987,0.001959652289473069,13.033265104086219,0.4452454735382887
Dafabet,0.015750000000000007,0.005524830142510072,11.893358530541107,0.5364073086612797
GGBET,0.0013124999999999773,0.001623987178444605,9.828011312902053,0.7079343837474086
Interwetten,0.006999999999999992,0.002514320668001364,26.007781816383112,0.016959985723793314
Lasbet,0.005187499999999987,0.001592440366755582,12.703568107300876,0.4709608301891458
Marathonbet,0.00618749999999999,0.0018991020316032974,13.746549337531667,0.39193234313347247
NordicBet,0.005124999999999987,0.0027983629666458822,15.888341420757012,0.25521198789142474
Pinnacle,0.0019999999999999792,0.0017787634176913525,8.44630123873894,0.8133590624706701
Suprabets,0.004499999999999986,0.0015725373777993456,13.10962108947696,0.43938034448558416
VOBET,0.004562499999999987,0.0015793427486851459,12.816242400232042,0.46210383318381054
Vulkan Bet,0.0024999999999999805,0.002546643016202686,10.213088256580917,0.6764234465450363
