pctl,beta_1,std_beta_1,beta_0,std_beta_0,rmse
2,2.591474227144837,0.25333045028024015,0.013115430655011879,0.002697016876701936,0.45565656877314004
4,1.5804369785889865,0.10638717369965396,0.01313801649619517,0.003881474137281697,0.4554658421476836
6,1.467120253934065,0.06190036799152183,0.012845893715718218,0.0026854987752788118,0.4552428587031586
8,1.5041588880568433,0.11187405281508749,0.012995742231026265,0.002684345886679922,0.4549536963164791
10,1.485253923721853,0.10809291658556901,0.012690061685024337,0.0026812022851185825,0.45469880113677597
12,1.4305575805053437,0.09138482459448158,0.012423720946957418,0.002808225263404441,0.45447523721400696
14,1.450879860535605,0.07449165076875841,0.012160852516278933,0.0026809748406593525,0.45414927979714786
16,1.429150576032559,0.03879257503756193,0.01192110572055863,0.08196795482643428,0.45389745021812783
18,1.4283583964878095,0.05184573723927796,0.011729086106711408,0.0050214167229244815,0.4536172247533452
20,1.381974764390061,0.04897143957085871,0.011750932117904147,0.0035754530148752327,0.45345732956183377
22,1.3449402553987975,0.04285925289068664,0.011794621847006333,0.002800474852093529,0.45328745763303757
24,1.311588161190867,0.03927744316164381,0.011846489425907863,0.0027056097421734133,0.4531575202608705
26,1.2706242809586998,0.03783424315122608,0.011872227042230184,0.002664936453310124,0.45310422582266724
28,1.2583775371566424,0.03278671939083636,0.01181288527965804,0.00550096410704272,0.4529460603388861
30,1.2270464936437382,0.031717317317268096,0.011819008439748108,0.004765360497213773,0.4528479711378471
32,1.2121072367775851,0.030630580402389838,0.011742451902481911,0.003699715517901568,0.4527358587725269
34,1.2078778332490903,0.029086176012118145,0.011902755605390494,0.0029797645916440404,0.45257649984455567
36,1.2025179243843471,0.02946701380042253,0.011803557211287992,0.0027035264992073156,0.4524310628304005
38,1.1876737408018152,0.027872984198004016,0.011812624898572769,0.002675777581380013,0.45234001275047697
40,1.175524938339045,0.027297804448825368,0.01166861963146859,0.0026755432445318226,0.4522526900278332
42,1.1747366592561341,0.02690971701745056,0.011621063314221632,0.0026767622527470274,0.4521071472915523
44,1.1682630658537796,0.02633679019057657,0.011605227516793687,0.0026814073315092257,0.45195552071672346
46,1.1552386286228835,0.026570105735713254,0.011593726308891366,0.0027125661632758525,0.4518793724247367
48,1.142002323702597,0.026543521722771888,0.011606060526421177,0.0026865417441052806,0.4518361483962565
50,1.1273477317077716,0.02478131059597728,0.011619874381902788,0.00274141902985767,0.45178687620073626
52,1.1282753423422618,0.024414507792092373,0.01149980948828796,0.0026799400234434577,0.45168721520908445
54,1.119040960187915,0.022297941770031648,0.011538611762249887,0.002657524769184534,0.45165646692378003
56,1.1122711338007976,0.025701708585803378,0.01158405407929984,0.002725414230963578,0.4515905759791011
58,1.1082850258130563,0.025765156685918725,0.011607832810514628,0.0026772420023045544,0.45153469532992024
60,1.1049335790463837,0.019177613584766984,0.011590543168506627,0.002650844080589929,0.45148486514910324
62,1.0926475769748234,0.02319559912116955,0.01168463585880047,0.002665035356062421,0.4515060395496148
64,1.087073026768317,0.022788929790270487,0.011805564241916415,0.002663445313080016,0.4514771830666731
66,1.0895355006938237,0.023050449855390724,0.011777069118552622,0.002676312845231085,0.45139407847112334
68,1.0893217212036348,0.023044739963894414,0.011744527388415766,0.0026679946573523834,0.45132483102881077
70,1.0838552140258542,0.022954578690249635,0.011732262181986306,0.002687055139776846,0.45129911310794607
72,1.0810588793646032,0.02287239124068206,0.011681342805830023,0.0027070461458896505,0.45126686422796086
74,1.0798310749852278,0.02323582738169989,0.01169503023247236,0.00268982673096863,0.45123150351564245
76,1.079698956496032,0.022997084497893137,0.011781194838200369,0.0027169623195270145,0.4511690522429735
78,1.0815144284607388,0.022455178059903737,0.011764335674815064,0.0026644976116257505,0.45110253159871894
80,1.0847665254284176,0.022541743756428364,0.011737153845841784,0.0026643804394479624,0.4510286440767095
82,1.0877974502417556,0.022803909218087233,0.011634609267364999,0.0026634955105957806,0.4509627288098566
84,1.076804608550565,0.021376551453362938,0.011706543973588042,0.0026578939448677857,0.451004089769217
86,1.0759493019283943,0.021903227134424275,0.01180379706085581,0.0026634258841701664,0.4509506334257991
88,1.0796671059283058,0.021672738553156323,0.011791728169698914,0.0026630181873441667,0.4508660241897946
90,1.0805151875166668,0.021733680658344696,0.011941891806778173,0.0026624472441897197,0.4507994722229075
92,1.079225053664955,0.0198233714388532,0.011753302817912254,0.004553729485535762,0.4507972821571667
94,1.0606048353252693,0.014887515697137484,0.011958175489013912,0.002657169550174291,0.4508382435914544
96,1.0568321052794265,0.019483233470936317,0.012058714637399808,0.004589082293423222,0.45084979664692937
98,1.0511233073373463,0.01866806515876206,0.012123724122365105,0.004393392400065578,0.4507942668813122
100,1.03132201138754,0.018149838345186638,0.012232855404369367,0.004369055517419181,0.4508067246642406
