sample,bin_intercept,bin_slope,contract_intercept,contract_slope
Opening,-0.05777412035128286,1.1164603506475086,-0.058064826117431856,1.1170317682615487
Closing,-0.05664556306151363,1.1136697526096437,-0.056976188692032484,1.1143193037977934
