sample,binning,nbin,reliability,resolution,uncertainty,rel_minus_res_plus_unc,brier,within_bin_rest,rel_share_of_brier,res_share_of_unc
Opening,quantile,10,0.0004867889608978949,0.042727807660778994,0.2498955653151599,0.20765454661527882,0.2066419328795274,-0.0010126137357514275,0.0023557123867094954,0.17098265672258775
Opening,quantile,20,0.0005230346887320547,0.043482378437307546,0.2498955653151599,0.20693622156658442,0.2066419328795274,-0.00029428868705702604,0.002531115932974673,0.17400220120940932
Opening,quantile,49,0.0006618745390251268,0.043851679119183966,0.2498955653151599,0.20670576073500108,0.2066419328795274,-6.382785547368042e-05,0.0032030020712736987,0.17548002127960813
Opening,equal_width,10,0.00046633334251789565,0.04252781814329464,0.2498955653151599,0.20783408051438318,0.2066419328795274,-0.0011921476348557836,0.002256721740934202,0.1701823643395191
Opening,equal_width,20,0.0005196821811515542,0.04347316435599213,0.2498955653151599,0.20694208314031934,0.2066419328795274,-0.0003001502607919426,0.002514892180448824,0.1739653294813985
Opening,equal_width,50,0.0006050801834103218,0.043848064036142394,0.2498955653151599,0.20665258146242785,0.2066419328795274,-1.064858290045212e-05,0.0029281577798785136,0.17546555490427646
Closing,quantile,10,0.000589848114352064,0.045281227345694224,0.2498955653151599,0.20520418608381774,0.2042531149508754,-0.0009510711329423494,0.0028878292235294794,0.18120060389461917
Closing,quantile,20,0.000681215714090967,0.04603219947739519,0.2498955653151599,0.20454458155185568,0.2042531149508754,-0.00029146660098028354,0.0033351545911787205,0.184205747786444
Closing,quantile,50,0.0008377284613064786,0.04641506297655955,0.2498955653151599,0.20431823079990685,0.2042531149508754,-6.511584903146073e-05,0.004101423185188434,0.18573784179812244
Closing,equal_width,10,0.0005292284620800228,0.045233409156763243,0.2498955653151599,0.2051913846204767,0.2042531149508754,-0.0009382696696013104,0.0025910423065386625,0.18100925120346326
Closing,equal_width,20,0.0006780616141820348,0.04614744339664697,0.2498955653151599,0.20442618353269498,0.2042531149508754,-0.00017306858181959095,0.003319712477066087,0.1846669161113258
Closing,equal_width,50,0.0008548288622650582,0.04651166040824497,0.2498955653151599,0.20423873376918,0.2042531149508754,1.4381181695388712e-05,0.004185144801687121,0.18612439300227684
