sample,N,y_mean,p_mean,brier,rmse,brier_uninformed,rmse_uninformed,bss_vs_uninformed,limit_E_p1mp,gap,gap_se_cluster,gap_t,gap_p
Opening,172663,0.5102193289818896,0.5087448461593425,0.2066419328795274,0.4545788522132628,0.25,0.5,0.17343226848189042,0.21487200458354128,-0.00823007170401388,0.0012147607960839735,-6.775055410534438,1.2435830143431303e-11
Closing,172663,0.5102193289818896,0.5090062747193035,0.2042531149508754,0.45194370772351217,0.25,0.5,0.18298754019649843,0.21276888897496155,-0.008515774024086153,0.0012280048918149769,-6.934641776141393,4.072520098929999e-12
Opening (ohne |Rtrn|>0-Filter),184415,0.5105116178185072,0.5091330220625447,0.20615622141162784,0.4540442945480406,0.25,0.5,0.17537511435348863,0.21438878529462943,-0.008232563883001587,0.0012152765713945282,-6.774230719806208,1.2506884417007313e-11
Closing (ohne |Rtrn|>0-Filter),184415,0.5105116178185072,0.5093777908690332,0.2039196329019359,0.4515746149884157,0.25,0.5,0.18432146839225638,0.2124196924858872,-0.008500059583951308,0.0012279688482077346,-6.922048223256994,4.451550239537028e-12
