y,x,pearson,p_pearson,spearman,p_spearman,n
rmse_panel (Figure 1),opn_hrs_med,-0.058597937558959576,0.7856383491982631,-0.07130434782608694,0.7405746871767942,24
rmse_panel (Figure 1),opn_hrs_mean,-0.022240748633063093,0.9178416668127056,-0.0008695652173913043,0.9967824967252694,24
rmse_series (Serienebene),opn_hrs_med,0.4088390922045675,0.047296054022581566,0.47043478260869553,0.020344586936490456,24
rmse_series (Serienebene),opn_hrs_mean,0.43280075041283284,0.0346490965666834,0.5226086956521738,0.008792755659654788,24
"rmse_publiziert (roh, A_baseline)",opn_hrs_med,-0.0831883761214994,0.699161012319214,-0.06869565217391303,0.749764493394595,24
"rmse_publiziert (roh, A_baseline)",opn_hrs_mean,-0.02959878574112078,0.8907994795103389,0.011304347826086955,0.958190162801108,24
rmse_panel (Figure 1),margin_opn_med,-0.36278005140961045,0.08145688788033777,-0.1803138624877067,0.39915012204941036,24
rmse_panel (Figure 1),ts_dur_med,0.054995826931134,0.7985427562171125,0.05098051314682776,0.8129878654396988,24
rmse_panel (Figure 1),n_series,0.10403779943731732,0.6285370978241233,0.1226086956521739,0.5681672657020507,24
