spec,coef_opn_hrs,se_cluster,t,p
Matchup-FE,0.00011724911794533965,2.8441110335625725e-05,4.122522523267026,3.747459560754507e-05
Matchup-FE + Bookmaker-FE,0.00011379940081943005,3.0499644116032735e-05,3.73117143224662,0.0001905914681661347
