pctl,full_C-B0,leak_B-B0,norm_Cnpf-B0,predicted,residual
2,0.8024197384710066,0.1610023098512896,0.5523662455278302,0.7133685553791198,0.08905118309188675
4,0.45348476235615776,0.18874062189396623,0.21250707041129036,0.4012476923052566,0.05223707005090117
6,0.4481476660632202,0.1945775037095998,0.21704346494483384,0.41162096865443365,0.03652669740878656
8,0.4308516553090558,0.17305463951325772,0.19939124479376136,0.3724458843070191,0.0584057710020367
10,0.42752025478053457,0.1730066428560586,0.23853990586551022,0.4115465487215688,0.015973706058965753
12,0.36099740198020336,0.10822910379845663,0.19389547527533257,0.3021245790737892,0.05887282290641416
14,0.3097304296322594,0.06979837588378524,0.1884246673204053,0.25822304320419054,0.051507386428068846
16,0.2588696687199794,0.07033598168345301,0.19694519185673376,0.26728117354018677,-0.00841150482020736
18,0.258146369350869,0.05928545670323304,0.19089158437487752,0.25017704107811056,0.007969328272758425
20,0.24158799491830152,0.054933796315102645,0.18068105919993438,0.23561485551503702,0.0059731394032644936
22,0.22478818229927366,0.04670932209813938,0.1715564771818816,0.218265799280021,0.0065223830192526755
24,0.20983672978160395,0.04323333592102596,0.16073990340115452,0.20397323932218048,0.0058634904594234705
26,0.20011064682359336,0.04102191322023585,0.1537071424054426,0.19472905562567844,0.005381591197914926
28,0.1933397125938816,0.03716377198465293,0.15134753660754163,0.18851130859219456,0.004828404001687048
30,0.1823100431154665,0.03420276947340439,0.14358952781478607,0.17779229728819046,0.004517745827276043
32,0.176489889491261,0.03210138285643516,0.14000369617292208,0.17210507902935723,0.004384810461903754
34,0.17096912864231584,0.03017546534083415,0.1367795006313941,0.16695496597222825,0.004014162670087584
36,0.16626642729273455,0.028449917619160825,0.13413778098451234,0.16258769860367317,0.0036787286890613835
38,0.16095104790423487,0.026610111104345746,0.1301393906016477,0.15674950170599344,0.004201546198241424
40,0.15731946483771986,0.026310327834146774,0.12751609595658286,0.15382642379072964,0.0034930410469902196
42,0.15483283255598002,0.025067519198946675,0.12646895494935295,0.15153647414829963,0.0032963584076803887
44,0.1502793254445458,0.023838859989882666,0.12330744799246651,0.14714630798234918,0.00313301746219663
46,0.14635823799029057,0.02302490788944267,0.12029986917162816,0.14332477706107083,0.0030334609292197445
48,0.14278852604349657,0.022422271323841447,0.11754294319888958,0.13996521452273103,0.002823311520765537
50,0.14006148845722244,0.021578203461056766,0.11565908465088559,0.13723728811194236,0.0028242003452800812
52,0.13915786627396198,0.02106854251588708,0.11542993155324599,0.13649847406913307,0.0026593922048289143
54,0.13694297511017062,0.02057284334221554,0.11366835465788971,0.13424119800010526,0.002701777110065362
56,0.13518298017237174,0.020161437500747392,0.11237420788592212,0.1325356453866695,0.0026473347857022267
58,0.13424302048815995,0.019844659920653207,0.11188521921614147,0.13172987913679468,0.0025131413513652667
60,0.13331776444008003,0.019433092359454007,0.1113489851590479,0.1307820775185019,0.0025356869215781286
62,0.13143491897675263,0.018773541865738874,0.10974889739413596,0.12852243925987483,0.0029124797168778027
64,0.1306211197239855,0.019163340618088,0.10925358448958944,0.12841692510767744,0.002204194616308053
66,0.12986061840503327,0.01986929412765004,0.10887772569136045,0.1287470198190105,0.0011135985860227793
68,0.1273718507837982,0.02418163546298946,0.10672126302008711,0.13090289848307657,-0.003531047699278367
70,0.12023627409012494,0.017716195012129177,0.09986690097705642,0.1175830959891856,0.0026531781009393463
72,0.11965982850176116,0.01749635566548957,0.09953255135397243,0.117028907019462,0.0026309214822991533
74,0.11911127666814603,0.017323132789415885,0.09918599567059261,0.1165091284600085,0.0026021482081375336
76,0.1185626171077816,0.0170791107226832,0.09890658794747953,0.11598569867016273,0.002576918437618869
78,0.11806648578220036,0.016872751679311238,0.09866627182168608,0.11553902350099732,0.002527462281203041
80,0.11808115073354097,0.016680246280028843,0.09889995591580358,0.11558020219583243,0.002500948537708547
82,0.1174579994606415,0.01655422364685899,0.09842785137458931,0.1149820750214483,0.0024759244391932
84,0.11561209289448615,0.016411184106018828,0.09674410141790779,0.11315528552392662,0.002456807370559533
86,0.1147987771120651,0.016198493225791588,0.09617019923543402,0.1123686924612256,0.0024300846508394924
88,0.1146321379521098,0.016015831560300398,0.09623499580874606,0.11225082736904646,0.002381310583063345
90,0.11389232779847192,0.015841506208622125,0.09569111048138879,0.11153261669001091,0.0023597111084610045
92,0.11822389272581602,0.01563235726050538,0.0948719524316547,0.11050430969216007,0.007719583033655941
94,0.11070556367519047,0.015440849582794791,0.09298196038915407,0.10842280997194886,0.0022827537032416023
96,0.11552826530228155,0.015167913627035623,0.0921708150585343,0.10733872868556993,0.008189536616711623
98,0.11425545940777726,0.014837212366573538,0.09747210928529493,0.11230932165186847,0.0019461377559087945
100,0.11212697708184172,0.01432866361925722,0.09593173050842074,0.11026039412767796,0.0018665829541637535
