bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.06018750000000008,0.01815113037395164,10.34190673341692,0.665764879284499
10x10bet,0.028625000000000025,0.010347877412226548,16.022749234126415,0.24790358721184946
1xBet,0.028937500000000026,0.011979493176313851,12.75967887469565,0.46654152468976184
888sport,0.034125000000000044,0.016015791996249043,15.163210200711973,0.29727504480583467
Alphabet,0.030000000000000034,0.01023319006368342,11.38750879083724,0.5783894879431681
BetInAsia,0.013687500000000002,0.014404859201870375,6.0422026553209225,0.9446035074824755
BetVictor,0.02037500000000001,0.014077579776134053,15.001408094452028,0.30726487848500916
Betfair,0.036500000000000046,0.020998980722624336,15.76732384560962,0.2619229092429287
Betfred,0.035937500000000046,0.018498009354287373,10.232056333718248,0.6748571058729991
Betsafe,0.023250000000000017,0.01786404607485811,16.268884504156453,0.2349146186491241
Betsson,0.023375000000000017,0.017920918045195404,21.193333820265078,0.06919167972629048
Betway,0.024500000000000022,0.013881778014406109,16.312132812612298,0.2326848673391665
ComeOn,0.03950000000000005,0.014806019454116259,8.345173565854143,0.8204085580185972
Curebet,0.026375000000000023,0.012600478591746721,13.913766653207244,0.3799449100831729
Dafabet,0.09800000000000014,0.03494049385012538,13.072374872721436,0.44223690321518405
GGBET,0.007562499999999995,0.010551199371753622,11.184858546992661,0.5953346690573533
Interwetten,0.03875000000000005,0.016561102605469107,25.653548195356958,0.018915368697626334
Lasbet,0.031312500000000035,0.01035546813369598,12.579901943357381,0.4807590455287125
Marathonbet,0.03843750000000005,0.012145484275665976,13.616196703424187,0.40141740482308463
NordicBet,0.029625000000000033,0.018052148845642955,15.094614551813695,0.3014834978966341
Pinnacle,0.014187500000000002,0.011318175616929224,10.057463946910172,0.6892287187187189
Suprabets,0.026625000000000024,0.010161887419632129,14.451318769157426,0.34284469065028644
VOBET,0.027250000000000024,0.010231292022991783,12.661961200849012,0.4742485844393465
Vulkan Bet,0.0120625,0.016510021044946078,10.563307229523119,0.6473486476640482
