hours,lambda,se_cluster,pw_lo,pw_up
59.899999999999984,1.1461153963292559,0.05247666560918474,1.0432611317352538,1.248969660923258
55.9233663758364,1.139712737818263,0.047813030662630984,1.0459991977195062,1.2334262779170198
52.21073300177015,1.1335789703038126,0.04359780192782722,1.0481272785252713,1.2190306620823539
48.74457346258709,1.1277289486739528,0.03986519609930917,1.0495931643193068,1.2058647330285988
45.5085248845097,1.122177527816732,0.03664375037134512,1.0503557770888956,1.1939992785445686
42.48731069015536,1.1169395626201992,0.033950499659293656,1.0503965832879836,1.1834825419524149
39.66666848162854,1.1120299079724028,0.031784023535054634,1.0497332218436957,1.1743265941011098
37.03328271130145,1.1074634187613912,0.030118242904991443,1.048431662667608,1.1664951748551744
34.57472182243806,1.1032549498752129,0.028899668369292215,1.0466115998714,1.1598982998790257
32.27937956291871,1.0994193562019166,0.02805015341798301,1.0444410555026697,1.1543976569011634
30.13642019502153,1.0959714926295507,0.027474936673715852,1.0421206167490678,1.1498223685100337
28.13572734261011,1.092926214046164,0.02707338333900075,1.0398623827017226,1.1459900453906053
26.26785623424747,1.0902983753398046,0.026749171992298225,1.0378699982349,1.1427267524447091
24.52398911678833,1.0881028313985215,0.026417904897257156,1.0363237377998975,1.1398819249971455
22.895893628967933,1.0863544371103628,0.026011949718355902,1.0353710156623852,1.1373378585583405
21.37588393848001,1.0850680473633776,0.02548358763410941,1.0351202156005233,1.135015879126232
19.956784459081383,1.0842585170456138,0.024808040125233913,1.0356347584001553,1.1328822756910724
18.63189597644085,1.0839359497794432,0.023991629861457094,1.0369123552509873,1.130959544307899
17.394964022820947,1.0840592452820506,0.023108957066571352,1.0387656894315707,1.1293528011325304
16.240149351297315,1.0845560863869799,0.022272400373689886,1.0409021816545476,1.1282099911194121
15.16200037013192,1.0853537115437129,0.021589727814050712,1.0430378450281734,1.1276695780592523
14.155427407169537,1.0863793592017317,0.02114378423959895,1.0449375420921176,1.1278211763113457
13.215678682766251,1.0875602678105178,0.02097301198203827,1.0464531643257229,1.1286673712953128
12.338317877824178,1.0888236758195535,0.02106020033599069,1.0475456831610117,1.1301016684780953
11.519203191036633,1.0900968445878638,0.021335748348056516,1.048278777825673,1.1319149113500546
10.75446778647823,1.091324512729124,0.021701459570770115,1.0487896519704145,1.1338593734878335
10.04050153923794,1.0925000342038806,0.02207778437959849,1.0492275768198676,1.1357724915878937
9.373933992920747,1.0936251484769763,0.02241228389938399,1.0496970720341836,1.137553224919769
8.751618448564514,1.0947015950132541,0.022673252612955396,1.0502620198918615,1.1391411701346468
8.17061710985981,1.095731113277557,0.022844537628827127,1.0509558195250557,1.1405064070300581
7.628187214547043,1.0967154427347274,0.022921361672134138,1.0517895738573446,1.1416413116121102
7.121768086520624,1.0976563228496083,0.022907169489556692,1.0527582706500773,1.1425543750491394
6.6489690475164025,1.098555493087043,0.02281129031946007,1.0538453640609011,1.1432656221131847
6.207558131316462,1.0994146929118738,0.02264717772488389,1.0550262245711013,1.1438031612526462
5.795451547193873,1.1002356617889437,0.022431022153602983,1.056270858367882,1.1442004652100055
5.410703842856947,1.1010201391830958,0.02218057921476588,1.0575462039221546,1.144494074444037
5.051498720454676,1.1017698645591727,0.0219141029023834,1.0588182228705012,1.1447215062478442
4.716140462288077,1.1024865773820174,0.02164931707164971,1.060053915921584,1.1449192388424507
4.403045925750296,1.1031720171164725,0.02140240291865983,1.0612233073958992,1.1451207268370458
4.110737069705638,1.1038279232273813,0.021187025451197956,1.0623013533430334,1.1453544931117292
3.837833977026388,1.1044560351795862,0.021013463561472368,1.0632696465991005,1.145642423760072
3.583048340348584,1.1050580924379303,0.020887937092847152,1.06411773573595,1.1459984491399107
3.345177380294599,1.105635833384201,0.020812227697548993,1.0648438670970048,1.146427799671397
3.1230981674520137,1.1061906201302514,0.020783244048813484,1.0654554617945768,1.146925778465926
2.915762321304212,1.1067228883173246,0.020794445338748035,1.0659657754533785,1.1474800011812707
2.7221910610877256,1.1072329335395972,0.020839190907350737,1.0663881193611897,1.1480777477180046
2.5414705852126174,1.1077210513912463,0.020911209377668282,1.0667350810110166,1.148707021771476
2.3727477574333333,1.1081875374664487,0.021004669255445883,1.0670183857257747,1.1493566892071228
2.2152260794054857,1.108632687359381,0.021114222807804447,1.0672488106560842,1.1500165640626778
2.068161930616038,1.1090567966642202,0.021235027108159464,1.0674361435322277,1.1506774497962127
1.9308610579365264,1.1094601609751433,0.02136274679558448,1.0675891772557977,1.151331144694489
1.8026752982273704,1.109843075886327,0.021493543096576036,1.0677157314170378,1.151970420355616
1.6829995185215267,1.1102058369919479,0.021624053234919883,1.0678226926515049,1.1525889813323908
1.5712687593428318,1.1105487398861833,0.02175136371692752,1.0679160670010053,1.1531814127713613
1.4669555676733752,1.1108720801632097,0.021872980276221355,1.0680010388218157,1.1537431215046037
1.3695675069794868,1.1111761534172042,0.021986796591252265,1.0680820320983497,1.1542702747360587
1.278644832541816,1.1114612552423433,0.022091063301761096,1.0681627711708916,1.154759739313795
