preis,slope,se_slope,t_slope_vs1,p_slope_vs1,intercept,se_intercept,t_intercept_vs0,p_intercept_vs0
Opening,1.1649072110162202,0.024682576810039512,6.681118113613851,2.3712587449153943e-11,0.0017550835585041773,0.019051296483817395,0.09212410084505195,0.9265994401671283
Closing,1.1665444621357253,0.023977580553799636,6.945841001849272,3.7621017412448055e-12,0.0005558026461863838,0.019199835919532237,0.02894830187694254,0.9769058224188638
