preis,dezil,n,preis_mittel,gewinnrate,bias,se_cluster,t,n_cluster
Opening,1,18800,0.19209535475109152,0.15356382978723404,-0.038531524963857464,0.008431305430469351,-4.570054457357323,3232
Opening,2,18283,0.29595869870149333,0.27856478696056447,-0.01739391174092883,0.010894300561672017,-1.596606559775259,2970
Opening,3,18352,0.36718782292433283,0.3507519616390584,-0.01643586128527448,0.01126615969265854,-1.4588699018694646,2967
Opening,4,18359,0.42579621885357344,0.4166348929680266,-0.009161325885546839,0.011649253795221855,-0.7864302767018877,3087
Opening,5,18761,0.4859853717602262,0.4884601034060018,0.002474731645775616,0.0115482225600016,0.21429545827659155,3076
Opening,6,18099,0.5369488766627966,0.5405271009448036,0.0035782242820070454,0.011940019385929099,0.29968328914305276,2956
Opening,7,18537,0.5932842154817464,0.59599719479959,0.002712979317843516,0.011689543806807791,0.23208598750137052,3082
Opening,8,19033,0.6522189981389722,0.680659906478222,0.028440908339249886,0.010790162242879096,2.635818414873168,3168
Opening,9,18044,0.725090873876346,0.7496120594103303,0.024521185533984264,0.010360769453525724,2.3667340195124034,2934
Opening,10,18147,0.8256347769461412,0.8598666446244558,0.03423186767831458,0.008281963387070209,4.1333034304108764,3181
Closing,1,18623,0.1837674895892689,0.141008430435483,-0.04275905915378586,0.008433576698046973,-5.070097858206222,3087
Closing,2,18261,0.2889218748027647,0.26959093149334645,-0.019330943309418303,0.011160345638578532,-1.7321097334652478,2670
Closing,3,18676,0.3632573843516899,0.36876204754765474,0.005504663195964821,0.012188583893234595,0.45162450734086046,2637
Closing,4,18585,0.4238360039532598,0.39962335216572503,-0.024212651787534734,0.012078858570896245,-2.0045479997484703,2759
Closing,5,18160,0.48115049153139416,0.47830396475770925,-0.0028465267736849224,0.012619820042692348,-0.22556001306320025,2660
Closing,6,18774,0.5417218220922971,0.5532118887823586,0.011490066690061487,0.012634337425004688,0.9094316784132607,2549
Closing,7,18017,0.5981683858941802,0.5936615418771161,-0.004506844017064143,0.012272827417578734,-0.36722133080832353,2710
Closing,8,18455,0.6561445921592816,0.6853427255486318,0.029198133389350345,0.011394053016987522,2.562576577958565,2716
Closing,9,18616,0.7288431372621946,0.7456489041684572,0.01680576690626252,0.010770431430408562,1.5603615337835186,2748
Closing,10,18248,0.8337869043564283,0.876041209995616,0.04225430563918752,0.00778176509530915,5.429912766790973,3104
