preis,lambda,se_cluster,t_vs1,p_vs1,n
Opening,1.117031768261549,0.017285687279322462,6.770443452459367,1.2838841101370235e-11,172663
Closing,1.1143193037977934,0.016480018193094546,6.93684330067642,4.009681475736215e-12,172663
