gruppe,n,lambda_opening,se_lambda_opening,lambda_closing,differenz,se_differenz,t,p
alle,184415,1.1155064736399556,0.017061368984858855,1.1130736098018605,-0.002432863838095045,0.005109138788256161,-0.47617885105944135,0.6339469651978482
Favoriten,95283,1.0805762711125624,0.04303100063723646,1.0984386950141953,0.01786242390163295,0.02004705050911345,0.8910250360028095,0.3729157391478779
Longshots,89132,1.0892391901280405,0.04523414118463444,1.0983214504753036,0.009082260347263116,0.02173083970236523,0.4179433685792907,0.6759885230868727
