term,coef,se_iid,se_cluster,t,p
(Intercept),-0.05742956423613599,0.0030335608270979563,0.0096012651481981,,
p,1.1155064736399556,0.005587660958079505,0.017061368984858855,,
close,0.0009662056191519497,0.004241259314226166,0.0026385472828493297,,
p:close,-0.002432863838095045,0.007797942750368325,0.005109138788256161,,
lambda_opening,1.1155064736399556,,0.017061368984858855,,
lambda_closing,1.1130736098018605,,,,
differenz,-0.002432863838095045,,0.005109138788256161,-0.47617885105944135,0.6339469651978482
