spec,preis,kovariaten,intercept,se_intercept_cluster,t_intercept_vs0,p_intercept_vs0,lambda,se_lambda_iid,se_lambda_cluster,faktor,t_lambda_vs1,p_lambda_vs1,n,n_cluster
"A  Opening, roh",OpnOdds,0,-0.05742956423611297,0.009601252132313292,-5.981466109282987,2.211380634165039e-09,1.1155064736399123,0.005602945878291385,0.017061345855738874,3.045067046219929,6.770068118691804,1.287214779210899e-11,184415,20920
"B  Closing, roh",ClsOdds,0,-0.0564633586169844,0.009274353457685415,-6.088118042362801,1.1424563517437036e-09,1.1130736098018579,0.005424377507186546,0.0163305993722686,3.0105941835045265,6.924033051344766,4.389599794762944e-12,184415,20920
C  Opening + Kovariaten,OpnOdds,5,-0.04632880189758315,0.014102854307582234,-3.2850656248129155,0.0010195862094550812,1.1150647767724822,0.00560560428754778,0.017077695853473608,3.0465396730571563,6.737722568649562,1.608890798365792e-11,184415,20920
D  Closing + Kovariaten,ClsOdds,5,-0.0458727461288202,0.01387759708328193,-3.3055251462864703,0.0009479859710881389,1.1126922606099554,0.005427213899195086,0.016348184689721854,3.0122609857235343,6.893258349399816,5.452971407748919e-12,184415,20920
E  Opening + DltOpnCls + Kov. (= Eq. 3 R2-C1),OpnOdds,6,-0.05090528039300235,0.014052084397893684,-3.622614193851036,0.00029164064291697933,1.1226551059114316,0.005576595773199918,0.01695697832217221,3.0407400880057134,7.233311476907008,4.714006962558415e-13,184415,20920
