stunden,lambda,se_cluster,t_vs_1,p_vs_1
24.0,1.0875042293894708,0.026300994104002516,3.3270312537788937,0.0008777652810325609
12.0,1.089341895393555,0.02115440857682779,4.223322768352819,2.4072668411090348e-05
6.0,1.0998257963439144,0.022545589228740913,4.427730645276611,9.522971844644346e-06
3.0,1.106504920839378,0.020785357923522606,5.1240359310265875,2.990639533795303e-07
1.0,1.1123305137070156,0.022367136968541698,5.022123030989755,5.110342957692637e-07
0.25,1.1134015484261164,0.02138465394178878,5.302940544878913,1.1395204291275718e-07
