bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.054375000000000076,0.01685759130639748,9.230093738289616,0.755351997043502
10x10bet,0.027687500000000025,0.00967406564030132,16.500636481181424,0.22314857784805886
1xBet,0.029625000000000033,0.011248531076859605,13.437860120893587,0.41458692792470253
888sport,0.033000000000000036,0.014773374522734905,14.294645899495421,0.3534257245653216
Alphabet,0.029625000000000033,0.009488252498042079,11.789454898993469,0.5449796257020463
BetInAsia,0.0096875,0.01361059158533847,5.70560605048438,0.95621410280153
BetVictor,0.021312500000000012,0.013093734554526285,15.975316818499085,0.2504653009440163
Betfair,0.033187500000000036,0.018964790214005642,14.792222369423902,0.3205028999570275
Betfred,0.035187500000000045,0.017610959727413302,10.574548481471822,0.6464109631316503
Betsafe,0.024625000000000022,0.0165282168229947,16.86456267889205,0.20556970372315964
Betsson,0.025250000000000022,0.016587410940662448,21.11006578015478,0.07077999002492374
Betway,0.01818750000000001,0.012783072157830543,17.77468252066037,0.16626353530936044
ComeOn,0.03750000000000005,0.013688587884281544,11.882918424661415,0.5372671931895401
Curebet,0.029375000000000026,0.011792571984811906,13.503236665549098,0.4097336803733258
Dafabet,0.09325000000000014,0.03232726536815025,12.025160320897308,0.5255817906043705
GGBET,0.007624999999999995,0.009789517647502384,9.853272079608873,0.7058865622570311
Interwetten,0.04043750000000005,0.0152974469000107,26.651879068981547,0.01387943980543982
Lasbet,0.031187500000000035,0.009611603167554383,12.619063321315759,0.47764776111450913
Marathonbet,0.03700000000000005,0.011351239144802459,13.838836033302885,0.3852911446534475
NordicBet,0.030250000000000034,0.016708024930054556,15.947115859125375,0.2519973699054898
Pinnacle,0.0110625,0.010650188403439717,8.622998931089587,0.8007833870843203
Suprabets,0.026812500000000024,0.009480937497629476,13.216640033561937,0.43122055208162025
VOBET,0.027500000000000024,0.009488353797049444,12.678967193129743,0.4729036845912188
Vulkan Bet,0.014625000000000003,0.015307810932514352,10.235602365385382,0.6745641580318624
