bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.049787109375000076,0.01647375081862803,9.139492825920803,0.7623285197852481
10x10bet,0.03633984375000006,0.009533666400602438,14.407158213427502,0.3458074003877104
1xBet,0.025366406250000015,0.010986688733593389,13.310478261321858,0.4241256451169111
888sport,0.02330625000000002,0.013791927018451831,13.771272662095415,0.39014710971545213
Alphabet,0.03841992187500007,0.009307257047027825,9.675578875549322,0.7202237671047773
BetInAsia,0.016226562500000007,0.013261786449283252,4.07793383047974,0.9903337716635776
BetVictor,0.014852148437500007,0.012594874085629742,15.411574560658245,0.2823680802986199
Betfair,0.03344677734375004,0.018629351986350875,14.800372334259421,0.3199803739294521
Betfred,0.03188867187500005,0.016820211405713718,10.514473960000808,0.6514194514666011
Betsafe,0.03516757812500004,0.0162057804596661,13.799478317354366,0.38811584023658163
Betsson,0.038506250000000075,0.016302485692678087,14.67965677397737,0.32777564857907737
Betway,0.007900195312500004,0.012553834475755674,16.690875873602458,0.2138234962096431
ComeOn,0.036562500000000046,0.013431665221378467,11.87679372000816,0.5377718012847977
Curebet,0.03717773437500002,0.0116314369539435,12.186877219609167,0.5123827302426351
Dafabet,0.07197734375000002,0.022472879171204316,11.692920683386697,0.5529707877717593
GGBET,0.004193750000000006,0.009648062440610384,9.819735646124357,0.7086046026357533
Interwetten,0.045997656250000074,0.014397787662932624,26.20974404684393,0.015931281905415103
Lasbet,0.04034882812500004,0.009379123490658666,10.612412650679703,0.6432510119473547
Marathonbet,0.03977500000000005,0.011205044506801211,13.82187011867697,0.38650739426045816
NordicBet,0.04112109375000006,0.016450343771481368,12.719125968621597,0.4697338005102506
Pinnacle,0.010509375,0.010580609021064015,8.622537608686752,0.8008166328783806
Suprabets,0.03485625000000002,0.00927465035696734,11.831937965899039,0.541470852242565
VOBET,0.03437500000000003,0.009252252961927925,11.860460211755314,0.5391180580764274
Vulkan Bet,0.020749218750000013,0.014542977106225166,10.010748326802068,0.6930552032257276
