bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.054375000000000076,0.016857591730732945,9.204517942273664,0.7573277085689976
10x10bet,0.027687500000000025,0.009674068610771375,16.470302732425345,0.22466316691333266
1xBet,0.029625000000000033,0.011248531325008068,13.423222598626664,0.415677520171843
888sport,0.033000000000000036,0.01477337834534312,14.292862438086807,0.35354728848766737
Alphabet,0.029625000000000033,0.009488256807897997,11.801187199567137,0.5440101187017777
BetInAsia,0.0096875,0.01361059112075475,5.701208097119502,0.9563545768609525
BetVictor,0.021312500000000012,0.013093624423892222,15.934382539314,0.25269133164663793
Betfair,0.033187500000000036,0.018964562350872488,14.798249115449469,0.3201164491416806
Betfred,0.035187500000000045,0.017610959469741755,10.560253987566485,0.6476032952408701
Betsafe,0.024625000000000022,0.016528061668169416,16.889878989378772,0.20438720874255245
Betsson,0.025250000000000022,0.016587235233158717,21.11754887313267,0.07063595178703297
Betway,0.01818750000000001,0.012783088004230758,17.77519942140728,0.16624303982145583
ComeOn,0.03750000000000005,0.013688588178369928,11.885078544533297,0.5370892504914277
Curebet,0.029375000000000026,0.01179257644304329,13.48321454424217,0.4112169345887725
Dafabet,0.09325000000000014,0.03232604459393783,12.100338452256986,0.5194337693253512
GGBET,0.007624999999999995,0.009789517775115204,9.875332141194782,0.7040957467631781
Interwetten,0.04043750000000005,0.015297446907010355,26.64202303486004,0.013922347718365646
Lasbet,0.031187500000000035,0.00961159491789403,12.615245438046587,0.4779507423562427
Marathonbet,0.03700000000000005,0.011351237758910285,13.834867032519707,0.3855754844599575
NordicBet,0.030250000000000034,0.01670788568181863,15.959555120157667,0.25132075647299335
Pinnacle,0.0110625,0.010650178562742751,8.620872284038773,0.8009366290519201
Suprabets,0.026812500000000024,0.009480941934670282,13.216029046855947,0.43126693279025874
VOBET,0.027500000000000024,0.009488360792607885,12.670696734361737,0.47355755623328544
Vulkan Bet,0.014625000000000003,0.015307795340566966,10.288453846622382,0.6701934512674087
