pctl,beta_1,std_beta_1,beta_0,std_beta_0,rmse
2,2.3414207342016606,0.24612136694501177,0.013261176140829393,0.0026976583553453646,0.4555445708157716
4,1.339459286644119,0.09559186762982874,0.013306706369302835,0.102247717637034,0.45542936114140253
6,1.2360160528156787,0.08690086808968937,0.013098336156409039,0.0027000755752698054,0.45526235484743827
8,1.2726984775415489,0.06833317695815658,0.013125740698030113,0.1023044040367204,0.45502238486039565
10,1.2962735748068286,0.09109149402651943,0.012891241578246651,0.002688581443665891,0.454798368518864
12,1.2634556538004729,0.05183911311510093,0.012551951697238927,0.09676399798577995,0.4545991496363219
14,1.329574098223751,0.04273138088146072,0.012239094153116739,0.0857364649363363,0.4542476869792256
16,1.3672260991693133,0.055958963504396865,0.012106102953712634,0.008079981513734761,0.4539125719704301
18,1.361103611511818,0.05036696095701261,0.01186183238813316,0.0036528195446960936,0.45366835686814727
20,1.321067828671694,0.04787177592576112,0.011878194381318888,0.0029196097536384764,0.4535114618524051
22,1.2917085502814056,0.04234768992795151,0.01190560157086153,0.002686075671092575,0.45333780332141593
24,1.2624913348104176,0.038915915817111825,0.011947478822433126,0.00267491885659764,0.4532037813289035
26,1.224220776540549,0.03814383950021448,0.011968955175662462,0.0026812661133374374,0.4531467153212735
28,1.2163853611703024,0.032791952267980616,0.011903955355427218,0.0054218620956081025,0.45298290250119494
30,1.1883259783430578,0.0317465435850147,0.011905168703602712,0.004809898466614839,0.4528797359269761
32,1.1756210434592462,0.030589465492409276,0.011826694960100633,0.0037599593804819053,0.45276581521646636
34,1.1736882052381687,0.0290840457446279,0.011976755134689347,0.00302025061593578,0.45260462068868496
36,1.170389278076125,0.02917648339219803,0.011876199021792478,0.002721648028207198,0.45245621359156185
38,1.156862083499228,0.02787302145899566,0.011882627355478886,0.0026759727484813142,0.45236534080206603
40,1.145721569457908,0.02733190032711167,0.011740666338665098,0.0026755064938789137,0.4522780072823789
42,1.1463727816495068,0.026908840511495512,0.011690787708298693,0.002675206449985739,0.452130714773116
44,1.1412911884017005,0.026368647254155286,0.011672185313285897,0.002674568900777948,0.45197796710849697
46,1.129180259804221,0.026247560037259657,0.011659932388851262,0.002676872634185114,0.4519024879330885
48,1.1167567408579901,0.026027065909182537,0.011670692474198007,0.0027111056297854184,0.4518532828625585
50,1.1029453279014347,0.02475888782752204,0.011681753434016742,0.0027955667224816936,0.4518027011544459
52,1.1045474076215458,0.02447413277408973,0.011562893836864875,0.0027140885721249394,0.45170180919721376
54,1.095766339735634,0.025906254762957857,0.011600668190713549,0.0027068400362579435,0.45167038910721374
56,1.089462361514348,0.02504988288364346,0.011642912694032902,0.002780668074539348,0.4516031553206376
58,1.0859272245410378,0.02468947696658314,0.011666733139169836,0.002674359823521227,0.45154850272752245
60,1.0829647997653515,0.024670873967895718,0.011649145684779734,0.0026711736184941216,0.4514986425818291
62,1.0709615553922067,0.030700675970150984,0.011741549479829002,0.002714350976555578,0.4515182247456479
64,1.065705491533921,0.0256663330141264,0.011859674752730597,0.0026837087797746675,0.4514882090544122
66,1.0685526079801508,0.013486461722747051,0.011830517462455966,0.0026336787758974214,0.45140671490564765
68,1.0686711334399237,0.022222804538459557,0.011797720820148284,0.002665125545439992,0.4513366178785459
70,1.0634858409127856,0.021842083811642897,0.01178576269561104,0.00266489194343688,0.4513116870289497
72,1.0609316022168143,0.02120460318059756,0.011735162034628282,0.0026655862612392023,0.4512800139911934
74,1.0599057939876744,0.02263631163913054,0.011748317142746293,0.0026645788805010127,0.4512436200335717
76,1.0600429273357301,0.022295443785635232,0.011833449702819979,0.0026698295293695537,0.45118236399421463
78,1.0621142145002245,0.0224064331255067,0.011813835895043942,0.002683928738493051,0.45111151889897466
80,1.0655853306106802,0.022282019649121416,0.011786971655139138,0.002663162004376952,0.45103992384268565
82,1.0687673021557034,0.02247805294605762,0.011686010802400018,0.0026612495358819006,0.450974439318576
84,1.0579366170739866,0.02468702545703127,0.01175644723421128,0.002705648788954878,0.4510126324558452
86,1.0573207240517632,0.021271844295241954,0.011851889905345263,0.0026604138218767177,0.45096062123713776
88,1.061269963784942,0.021262965607932838,0.011839164826982954,0.002661251918390031,0.4508766502812177
90,1.0623139701995836,0.021243674193825317,0.01198631717347626,0.002660045292670254,0.4508102064743507
92,1.0558731133707937,0.021384959657957545,0.011836301136806057,0.002662606554437175,0.45080885020542505
94,1.0428812320392327,0.024839377299473605,0.012001426974055757,0.0027240469683183204,0.45084314460409775
96,1.0334746550356793,0.0256776433146657,0.0121318609579122,0.0026764891487569124,0.45085568070837295
98,1.0343399572148642,0.01851503374420381,0.01216238657080744,0.004526515600580483,0.45080064136605696
100,1.0151267648141193,0.018056848335668247,0.012269315479768336,0.004499018995084173,0.4508100643199683
