,included_mean,excluded_mean,included_median,excluded_median,diff_mean,std_diff
Preisänderungen,7.373580728720916,20.0,6.0,20.0,12.626419271279083,2.364467707495399
Fensterlänge (h),24.70880851581786,29.879205290526794,18.083333333333332,22.816666666666666,5.170396774708934,0.3682167075134526
Posting-Zeitpunkt (h vor Anpfiff),27.39381197722319,31.36245572386766,19.916666666666668,24.166666666666668,3.968643746644471,0.2585250572881711
Opening-Wahrscheinlichkeit,0.5091558003030991,0.5091027747267844,0.5,0.5,-5.3025576314702505e-05,-0.0002812039814263595
|Opening - Closing|,0.03508041334338866,0.05286793269801465,0.025592526655219133,0.040893607516298836,0.01778751935462599,0.5059858214908548
Marge beim Opening,0.0728171569870623,0.073088918039766,0.07803468208092479,0.07911576497963946,0.0002717610527036979,0.01727734039833579
Gewinnrate,0.5103328654730523,0.5148089531991861,1.0,1.0,0.004476087726133726,0.008954143816275503
Anteil Favoriten,0.5175561717617793,0.5113045444268596,1.0,1.0,-0.006251627334919685,-0.012510673356806284
Anteil ATP/WTA,0.31433364143644515,0.4105810535835406,0.0,0.0,0.09624741214709542,0.20650671344453164
