NumOddsMvt,n_serien,anteil,kumuliert
1,12021,0.06529177891718084,0.06529177891718084
2,14161,0.07691513861128009,0.14220691752846093
3,16083,0.08735443642999913,0.22956135395846006
4,16323,0.08865799078821587,0.3182193447466759
5,15419,0.08374793603893282,0.4019672807856087
6,15180,0.08244981315720866,0.4844170939428174
7,12980,0.07050056487355523,0.5549176588163727
8,11669,0.0633798991917963,0.618297558008169
9,10057,0.05462435908577388,0.6729219170939429
10,8693,0.04721582514990875,0.7201377422438516
11,7452,0.0404753628226297,0.7606131050664813
12,6576,0.03571738941513861,0.7963304944816199
13,5661,0.0307475884244373,0.8270780829060571
14,4888,0.02654905709568089,0.853627140001738
15,4212,0.022877378986703747,0.8765045189884417
16,3731,0.0202648387937777,0.8967693577822194
17,3481,0.018906969670635265,0.9156763274528548
18,3239,0.017592552359433387,0.9332688798122881
19,3440,0.018684279134439905,0.951953158946728
20,8846,0.04804684105327192,1.0
