Row,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.003,0.000,5.376,0.000,0.002,0.003
Exog,-0.004,0.001,-7.062,0.000,-0.005,-0.003
TsDur,0.001,0.000,4.015,0.000,0.000,0.001
Compet_Challenger_Men,0.002,0.000,4.385,0.000,0.001,0.003
Compet_ITF_Men,0.003,0.000,7.719,0.000,0.003,0.004
Compet_Misc,-0.008,0.003,-3.320,0.001,-0.013,-0.003
Compet_WTA,0.003,0.000,6.168,0.000,0.002,0.004
Bookies Var,0.000,0.000,,,,
Bookies x Exog Cov,-0.000,0.000,,,,
Exog Var,0.000,0.000,,,,
