model,term,beta_ols,beta_lmer,se_model_lme4,se_iid,se_cluster_match,se_cluster_bookie,se_cluster_twoway,ratio_vs_model,ratio_vs_iid,t_match,t_twoway
Eq1_resp_to_info,(Intercept),0.004997779296208343,0.004997779211999292,0.006645508235402624,0.006645642921641195,0.026224658323488612,0.003474015115631526,0.025623866644713812,3.9462231321574412,3.9461431546509003,0.19057557336150258,0.19504391610777377
Eq1_resp_to_info,RtrnOpnCls,0.02757031927562684,0.027570317503160153,0.02112238662555556,0.021122811433058355,0.08083809850565409,0.01790745004663912,0.07850743914245731,3.8271290048185023,3.827052036223646,0.34105600929861657,0.35118097822040206
Eq1_resp_to_info,TsDur,-0.00716417588871231,-0.007164175865540836,0.0032159494432265775,0.003216014634151262,0.01079693842713952,0.0020819807325067473,0.010522257068571135,3.3573097518308312,3.3572416967527077,-0.663537718313204,-0.6808592341001574
Eq1_resp_to_info,Compet_Challenger_Men,-0.012433394608273585,-0.012433394601878188,0.008190616445009787,0.008190782479080677,0.03150705188656372,0.006204952825592513,0.03108251354295447,3.846725346998723,3.8466473706307034,-0.39462259601558736,-0.40001252122326786
Eq1_resp_to_info,Compet_ITF_Men,-0.05797332209204084,-0.05797332199789268,0.008602042680726932,0.008602217046669202,0.031083798255000235,0.005620565776653637,0.030404932889343064,3.613536854989592,3.613463609016463,-1.8650655758491508,-1.9067077800510621
Eq1_resp_to_info,Compet_Misc,0.030054041963140113,0.030054042160356266,0.04985637150387667,0.04985738215808546,0.18731629046622822,0.023228869234889874,0.1819758039654026,3.757118394620096,3.757042234433699,0.1604454256932802,0.16515405514490275
Eq1_resp_to_info,Compet_WTA,-0.047147971970296354,-0.047147971962639916,0.009642430764631588,0.00964262622948454,0.03871976290778115,0.005594146859841629,0.037919302832759905,4.015560376104036,4.015478977022525,-1.2176720214581032,-1.243376550941318
Eq2_ags_test,(Intercept),0.00263991034401187,0.002629546544249009,0.0004192112459018978,0.0003048335903306666,0.001020397644363325,0.00029639067969838677,0.001024810196291749,2.4340893865288016,3.347392402708816,2.5871388067139613,2.575999295834801
Eq2_ags_test,Exog,-0.003985391322781165,-0.0038608220666207496,0.00036405843486897644,0.00012432427194589374,0.0003349357946959722,0.0003843513329176539,0.0004984031215735321,0.920005588708622,2.694049918440199,-11.89897104428263,-7.996320950395932
Eq2_ags_test,TsDur,0.0005976702104947382,0.0005759539755374997,0.0001477047297549475,0.0001475449358502435,0.0004889496192535126,0.00014994829830352268,0.00048812480870197517,3.3103179570804153,3.3139030928841313,1.222355406283394,1.224420885478177
Eq2_ags_test,Compet_Challenger_Men,0.0016275398950841811,0.0014995963632809454,0.0003759571000660563,0.00037591634766610815,0.0012662846143134062,0.000338473247787687,0.001260893452045123,3.368162521976358,3.368527658281385,1.2852875859718564,1.290783049467321
Eq2_ags_test,Compet_ITF_Men,0.002878516585692499,0.0027561056727230296,0.0003997834203351831,0.0003947012212403781,0.001290880161673165,0.0003614370853407106,0.0012843426654668873,3.228948715759338,3.2705248735143955,2.229886763432425,2.2412372204781454
Eq2_ags_test,Compet_Misc,-0.0074689286359426,-0.007566658698935563,0.0022856430184431333,0.00228744071792666,0.006168386539091449,0.0014799480249031278,0.005964852476973208,2.698753256443803,2.696632306468027,-1.2108399155288199,-1.2521564723982272
Eq2_ags_test,Compet_WTA,0.002632197208017481,0.002621340691415852,0.00044197984925485004,0.00044231133772616857,0.0014710384942846744,0.0003037057023338037,0.0014446916301758626,3.3282931264055406,3.3257987503711304,1.7893462463723264,1.821978582167783
