model,bookie,slope,se_cluster
Eq1_resp_to_info,10Bet,0.20653183575272158,0.1447739053950601
Eq1_resp_to_info,10x10bet,-0.0016333032870086694,0.11071025844106953
Eq1_resp_to_info,1xBet,0.09566189948441388,0.089404229292371
Eq1_resp_to_info,888sport,0.00589614590081039,0.1512801310059153
Eq1_resp_to_info,Alphabet,-0.04574627007189433,0.10618747285135575
Eq1_resp_to_info,BetInAsia,-0.05674554673402929,0.1449063559557488
Eq1_resp_to_info,BetVictor,0.02151204404641463,0.17922809545408308
Eq1_resp_to_info,Betfair,-0.03761613239520489,0.19500482892948157
Eq1_resp_to_info,Betfred,0.1182636377939835,0.14557350706910363
Eq1_resp_to_info,Betsafe,-0.04160409665319226,0.17504685154798963
Eq1_resp_to_info,Betsson,-0.04327634864106594,0.17142157424699472
Eq1_resp_to_info,Betway,0.2035424516024423,0.12960123879581914
Eq1_resp_to_info,ComeOn,-0.0013219518554619947,0.12245902593300363
Eq1_resp_to_info,Curebet,0.16029899721226598,0.1288350632670587
Eq1_resp_to_info,Dafabet,0.3789628657528788,0.23772197265742717
Eq1_resp_to_info,GGBET,0.019191127510135325,0.10499281647656766
Eq1_resp_to_info,Interwetten,0.14325843596136795,0.1277516129739457
Eq1_resp_to_info,Lasbet,-0.0255076390128067,0.10669503588182377
Eq1_resp_to_info,Marathonbet,0.020217945055421044,0.09433990608233113
Eq1_resp_to_info,NordicBet,-0.11280465046499175,0.17185265855364382
Eq1_resp_to_info,Pinnacle,-0.036755430780531034,0.13263295223579666
Eq1_resp_to_info,Suprabets,-0.04157381077536779,0.10485767736398115
Eq1_resp_to_info,VOBET,-0.06374911050446044,0.10537206741131702
Eq1_resp_to_info,Vulkan Bet,-0.05607218646835058,0.20623684454295885
