Trim rechts,Gitterpunkte,sup_t,punktweise,simultan,Datenanteil
kein Trim rechts,96,2.6536145650263854,38,0,0.9624521280509292
symmetrisch (0.18 h),81,2.613552120698728,28,0,0.9431004371885177
"0,25 h",76,2.5944923179534083,23,0,0.9308823928036214
"0,5 h",66,2.580863273793227,13,0,0.8941144125061473
