hours,beta_1,se,k
181.14999999999998,0.9310289116028452,0.22437746656309848,6
172.88446830534969,0.936020514309547,0.2150910750238342,6
164.99607718036705,0.9410144140274237,0.20584206736422997,6
157.46761841455262,0.9460129077676509,0.19664782357360824,6
150.28266897548787,0.9510182925414028,0.187525949873551,6
143.42555518264473,0.956032865359855,0.17849431002978852,6
136.88131851587718,0.9610589232341823,0.1695710616821034,6
130.6356829840058,0.9660987631755601,0.16077469821764057,6
124.67502398231335,0.971154682195163,0.15212409659048773,6
118.9863385710128,0.9762289773041662,0.14363857121610216,6
113.55721710985311,0.9813239455137446,0.13533793354392246,6
108.37581618698381,0.9864418838350737,0.12724255598176795,6
103.43083278302517,0.9915850892793281,0.11937343727884328,6
98.71147961398209,0.996755858857683,0.11175226392772536,6
94.20746159921426,1.0019564895813133,0.10440145813470973,6
89.90895340312895,1.0071892784613943,0.09734419678684345,6
85.80657800160316,1.0124565225091007,0.09060437684066869,6
81.89138622637975,1.017760518735608,0.08420648993799235,6
78.1548372428137,1.0231035641520907,0.07817535256035002,6
74.58877991838251,1.0284879557697244,0.07253561881150349,6
71.18543504131559,1.0339159905996835,0.06731098514076868,6
67.93737835055398,1.0393899656531436,0.06252298945327589,6
64.83752434002155,1.0449121779412796,0.05818932774852673,6
61.87911080187577,1.050484924475266,0.05432168220473373,6
59.05568407502139,1.056110502266279,0.05092319444774615,6
56.361084966705945,1.0617912083254926,0.04798592090321487,6
53.789435316486866,1.067529339664082,0.04548881722580321,6
51.33512517325883,1.0733271932932227,0.04339690388508353,6
48.9928005573692,1.0791870662240892,0.04166214733840886,6
46.75735178112512,1.0851038272168372,0.04022676413737247,6
44.62390230221373,1.0910419643257954,0.039032128554483556,6
42.58779808571954,1.0969581997693665,0.0380258973443993,6
40.64459745153306,1.1028092557628664,0.03716374679793431,6
38.79006138500284,1.1085518545216109,0.03640994992270986,6
37.02014428969416,1.1141427182609156,0.03573725411100906,6
35.33098516208173,1.1195385691960966,0.035126243050826254,6
33.71889916892465,1.1246961295424693,0.034564364380430826,6
32.180369608949704,1.1295721215153498,0.034044769532920495,6
30.712040241307797,1.1341232673300534,0.03356506935968705,6
29.310707964068467,1.1383062892018967,0.03312607343989894,6
27.97331582678088,1.1420779093461944,0.03273055838973101,6
26.696946361858345,1.145394849978263,0.032382100856375,6
25.478815220239152,1.148213833313418,0.03208401070085111,6
24.31626509744023,1.1504915815669752,0.03183840400339776,6
23.206759936753457,1.1521848169542501,0.03164545853291653,6
22.14787939693907,1.1532502616905589,0.03150289179309852,6
21.137313572347903,1.1536446379912166,0.03140569159881286,6
20.17285795395429,1.1533246680715403,0.031346112397492215,6
19.252408620307666,1.1522470741468447,0.03131393120704892,6
18.37395764791181,1.1503685784324458,0.0312969406018724,6
17.535588731019857,1.1476459031436597,0.03128164767328751,6
16.735473001289822,1.1440357704958013,0.031254150215528055,6
15.97186503818121,1.1395106324180584,0.031202484875737024,6
15.24309906138981,1.134112795995831,0.031122762456677288,6
14.547585297014367,1.1279039531784343,0.031016124916108032,6
13.88380650952831,1.1209457966547154,0.030886574819867965,6
13.250314691990924,1.113300019113522,0.03074025866526238,6
12.645727907278028,1.105028313243701,0.030584819475065014,6
12.068727273441267,1.0961923717341002,0.03042879983324289,6
11.518054086619744,1.0868538872735658,0.030281081615941667,6
10.992507075227799,1.0770745525509466,0.030150355887566645,6
10.490939779428942,1.066916060255089,0.03004462463627854,6
10.012258050179499,1.05644010307484,0.029970743997630694,6
9.555417662386091,1.0457083736990478,0.029934025003133337,6
9.119422036970288,1.0347825648165596,0.029937911338852947,6
8.703320066871091,1.0237243691162219,0.029983753109290242,6
8.306204042242834,1.0125954792868825,0.0300706909424817,6
7.927207670322383,1.0014575880173888,0.03019565673378149,6
7.565504185646012,0.9903723879965882,0.03035348763254104,6
7.220304546493565,0.9794015719133279,0.030537140728395296,6
6.890855713625388,0.9686068324564547,0.03073798930953042,6
6.576439007557312,0.9580498623148167,0.03094617880446104,6
6.276368540789996,0.9477923541772607,0.03115102183335926,6
5.989989721572743,0.9378960007326342,0.0313414165607325,6
5.7166778259376985,0.9284224946697845,0.031506279651011465,6
5.455836634889437,0.9194226885617125,0.03163604558170882,6
5.206897133777031,0.9108951477001775,0.03172739868130003,6
4.9693162710112695,0.9028226926527547,0.031780320183164235,6
4.742575773419303,0.8951881408140602,0.03179634186551818,6
4.526181015652382,0.8879743095787103,0.03177824492894715,6
4.3196599411804035,0.8811640163413216,0.031729800729685766,6
4.1225620325194186,0.8747400784965098,0.03165554358232782,6
