pctl,rmse,brier,bss
2,0.45565656877314,0.20762290866611124,0.16950836533555502
4,0.4554658421476836,0.20744913336329862,0.17020346654680552
6,0.4552428587031586,0.20724606040022403,0.17101575839910388
8,0.4549536963164791,0.20698286579202707,0.17206853683189172
10,0.4546988011367759,0.2067509997552213,0.17299600097911483
12,0.4544752372140069,0.20654774124072783,0.17380903503708867
14,0.4541492797971478,0.20625156834026806,0.17499372663892776
16,0.4538974502181278,0.20602289531451778,0.17590841874192886
18,0.4536172247533452,0.2057685865929269,0.17692565362829238
20,0.4534573295618337,0.20562354973334948,0.17750580106660208
22,0.4532874576330375,0.2054695192474228,0.17812192301030882
24,0.4531575202608705,0.20535173816898128,0.17859304732407488
26,0.4531042258226672,0.20530343945835858,0.1787862421665657
28,0.4529460603388861,0.20516013357651788,0.17935946569392847
30,0.4528479711378471,0.2050712849636644,0.17971486014534244
32,0.4527358587725269,0.20496975781849744,0.18012096872601024
34,0.4525764998445556,0.20482548821154906,0.18069804715380378
36,0.4524310628304005,0.20469386661384584,0.18122453354461665
38,0.4523400127504769,0.20461148713510163,0.18155405145959347
40,0.4522526900278332,0.20453249563741138,0.18187001745035447
42,0.4521071472915523,0.20440087263210538,0.18239650947157848
44,0.4519555207167234,0.2042637927063246,0.18294482917470156
46,0.4518793724247367,0.2041949672229739,0.18322013110810442
48,0.4518361483962565,0.20415590499756395,0.1833763800097442
50,0.4517868762007362,0.20411138150721936,0.18355447397112257
52,0.4516872152090844,0.20402134038333772,0.18391463846664913
54,0.45165646692378,0.20399356411407155,0.18402574354371382
56,0.4515905759791011,0.2039340483131363,0.1842638067474548
58,0.4515346953299202,0.20388358108668383,0.18446567565326466
60,0.4514848651491032,0.2038385834587039,0.1846456661651844
62,0.4515060395496148,0.20385770374977835,0.1845691850008866
64,0.4514771830666731,0.20383164682981827,0.1846734126807269
66,0.4513940784711233,0.2037566140787946,0.18497354368482155
68,0.4513248310288107,0.20369410310318453,0.18522358758726187
70,0.451299113107946,0.20367088949201864,0.18531644203192543
72,0.4512668642279608,0.2036417827501368,0.18543286899945277
74,0.4512315035156424,0.20360986976498718,0.18556052094005127
76,0.4511690522429735,0.20355351370182295,0.1857859451927082
78,0.4511025315987189,0.20349349401477318,0.18602602394090728
80,0.4510286440767095,0.20342683777767512,0.18629264888929953
82,0.4509627288098566,0.20336738277563227,0.18653046889747094
84,0.451004089769217,0.20340468898855996,0.18638124404576017
86,0.4509506334257991,0.20335647378712945,0.18657410485148218
88,0.4508660241897946,0.20328017176871244,0.18687931292515025
90,0.4507994722229075,0.20322016415645194,0.18711934337419223
92,0.4507972821571667,0.20321818960028815,0.18712724159884742
94,0.4508382435914544,0.20325512188462758,0.1869795124614897
96,0.4508497966469293,0.20326553913657752,0.1869378434536899
98,0.4507942668813122,0.20321547105305973,0.18713811578776107
100,0.4508067246642406,0.20322670300250043,0.1870931879899983
