Stunden,k=6,SE(k=6),k=10,k=20,n_obs_>=Stunde
181.0,0.9310289116028452,0.22437746656309848,0.9310453833655825,-0.8860051468761255,1
120.0,0.9762289773041662,0.14363857121610216,0.9785144141623523,-3.349793156419049,36
90.0,1.0071892784613943,0.09734419678684345,1.0104203295268666,0.0501369618462305,315
72.0,1.0339159905996835,0.06731098514076868,1.0373064138506467,1.9484559786881694,1933
60.0,1.056110502266279,0.05092319444774615,1.0592041121544253,1.3262673700364518,12790
48.0,1.0791870662240892,0.04166214733840886,1.0817385776135098,0.5148232551575821,38376
36.0,1.1195385691960966,0.035126243050826254,1.12244323420661,1.5028145733862777,114003
24.0,1.1504915815669752,0.03183840400339776,1.1524645788782324,0.97626731240786,213282
12.0,1.0961923717341002,0.03042879983324289,1.0925708512871448,1.0317329458123108,539894
6.0,0.9378960007326342,0.0313414165607325,0.9459590130030715,0.9822540832687888,784576
1.0,0.7837514926283995,0.032884482983868105,0.7845318824850777,0.8286982041995986,1124348
0.1,0.7989132469912867,0.044986731581552586,0.7985951900533671,0.7830987170603655,1274725
0.02,0.8655168052537062,0.08541011120150331,0.8506032185001355,0.924308511947027,1287747
