Bin,n,serien,brier,rmse,bss_pct
"(0.0, 1.0]",168937,93526,0.20639987214160976,0.45431252694770563,17.440051143356094
"(1.0, 3.0]",173715,90036,0.2083212447041547,0.45642222196575255,16.671502118338122
"(3.0, 6.0]",164780,81786,0.21325447001524853,0.46179483541422217,14.698211993900589
"(6.0, 12.0]",244708,100656,0.21244559519905729,0.4609182087952886,15.021761920377086
"(12.0, 24.0]",325960,111006,0.21215565959499183,0.4606035818303977,15.137736162003268
"(24.0, 48.0]",174795,49483,0.2109660180982741,0.4593103722955471,15.613592760690365
"(48.0, inf]",38310,11927,0.2036462890136476,0.4512718571035065,18.541484394540962
