hours,aktuell: cr k=6,(b) cr k=4,(c) ns df=4,(c) ns df=3
59.899999999999984,1.3488106823160815,1.1243819029271773,1.003574805372452,1.075007140242178
55.9233663758364,1.1327573727527003,1.1587260180393337,1.025319963354631,1.0829380281021528
52.21073300177015,0.9515702900547277,1.1840661965758958,1.045867280915786,1.0903916512977307
48.74457346258709,0.8510383860517137,1.2013489231721775,1.065146748967576,1.0973401155756668
45.508524884509704,0.8246606585225171,1.211544804237353,1.0830883584216608,1.1037555266827153
42.48731069015536,0.8533561796423701,1.2156244461805972,1.0996221001896997,1.1096099903656311
39.66666848162854,0.9180440215865053,1.214558455411085,1.1146779651833523,1.1148756123711687
37.03328271130145,0.9996432565301536,1.2093174383379914,1.128185944314278,1.1195244984460828
34.57472182243806,1.0790779674190358,1.2008720013704912,1.140076028494136,1.1235287543371282
32.27937956291871,1.1420794661416258,1.1901927509177592,1.1502782086345862,1.1268604857910591
30.136420195021532,1.1881449221332883,1.1782502933889698,1.1587224756472878,1.1294917985546307
28.13572734261011,1.2192199442779406,1.165999460255631,1.1653388204439004,1.1313947983745973
26.26785623424747,1.2372501414594999,1.153953688985774,1.170057233936083,1.1325415909977135
24.52398911678833,1.2441811225618835,1.142136384050593,1.1728077070354956,1.1329042821707342
22.895893628967933,1.241958496469009,1.1305454138496827,1.1735202306537977,1.132454977640414
21.375883938480012,1.2325278720647932,1.1191786467826372,1.1721247957026484,1.1311657831535076
19.956784459081383,1.2178348582331537,1.1080339512490507,1.168551393093707,1.1290088044567692
18.631895976440855,1.199825063858008,1.0971091956485184,1.1627300137386334,1.125956147296954
17.394964022820947,1.1804440896537376,1.0864022483806335,1.1545907558385438,1.1219799174208163
16.240149351297315,1.161283035616651,1.0759109778449911,1.1441603067428083,1.117052220575111
15.162000370131919,1.1426341697347993,1.0656332524411858,1.13173979507775,1.1111451625065925
14.155427407169535,1.1244923793630477,1.0555669405688115,1.1176787627876135,1.1042314638605877
13.215678682766251,1.1068525518562609,1.0457099106274625,1.1023267518166446,1.0963256049711791
12.338317877824178,1.089709574569303,1.0360600310167338,1.0860333041090882,1.087509758288365
11.519203191036633,1.0730583348570395,1.0266151701362192,1.0691479616091895,1.0778722800698055
10.75446778647823,1.056893720074334,1.017373196385513,1.052020266261194,1.0675015265731604
10.040501539237939,1.041210617576052,1.0083319781642102,1.0349997600093466,1.05648585405609
9.373933992920747,1.0260039147170583,0.9994893838719047,1.0184359847978925,1.044913618776254
8.751618448564514,1.0112684988522171,0.9908432819081907,1.002644984067576,1.0328731769913126
8.17061710985981,0.9969992573363933,0.9823915406726633,0.9877001372322783,1.0204528849589263
7.628187214547043,0.9831910775244516,0.9741320285649163,0.973567953315784,1.0077410989367546
7.121768086520624,0.9698388467712564,0.9660626139845441,0.9602144764868965,0.9948261751824578
6.6489690475164025,0.9569374524316728,0.9581811653311414,0.9476057509144193,0.9817964699536958
6.207558131316462,0.9444817818605658,0.9504855510043021,0.9357078207671559,0.9687403395081291
5.795451547193873,0.932466722412799,0.9429736394036208,0.9244867302139095,0.9557461401034172
5.410703842856947,0.9208871614432379,0.9356432989286921,0.9139085234234837,0.9429022279972203
5.051498720454676,0.9097379863067471,0.9284923979791104,0.903939244564682,0.9302969594471987
4.716140462288077,0.8990140843581912,0.9215188049544696,0.8945449378063078,0.9180186907110124
4.403045925750296,0.8887103429524349,0.9147203882543644,0.8856916473171645,0.9061549776557899
4.110737069705638,0.8788216494443428,0.9080950162783894,0.8773454172660557,0.8947561587300634
3.837833977026388,0.8693428911887797,0.9016405574261385,0.8694722918217848,0.8838203654951049
3.5830483403485838,0.8602689555406102,0.8953548800972062,0.8620383151531552,0.8733418231705536
3.345177380294599,0.8515947298546991,0.8892358526911871,0.8550095314289704,0.8633147569760489
3.1230981674520137,0.843315101485911,0.8832813436076752,0.8483519848180339,0.8537333921312303
2.9157623213042116,0.8354249577891106,0.8774892212462652,0.8420317194891489,0.8445919538557372
2.7221910610877256,0.8279191861191629,0.8718573540065516,0.8360147806729089,0.8358846673692089
2.5414705852126174,0.820792673830932,0.8663836102881284,0.8302732149042428,0.8276057578912845
2.3727477574333333,0.8140403082792831,0.8610658584905905,0.8247991649509047,0.819749450641604
2.2152260794054857,0.8076569768190804,0.8559019670135315,0.8195889752593425,0.8123099708398064
2.068161930616038,0.8016375668051892,0.8508898042565463,0.8146389902760045,0.805281543705531
1.9308610579365264,0.7959769655924737,0.8460272386192293,0.8099455544473386,0.7986583944584175
1.8026752982273702,0.7906700605357988,0.8413121385011748,0.8055050122197929,0.792434748318105
1.6829995185215267,0.7857117389900291,0.8367423723019771,0.8013137080398156,0.786604830504233
1.5712687593428318,0.7810968883100292,0.8323158084212304,0.7973679863538546,0.781162866236441
1.4669555676733752,0.7768203958506642,0.8280303152585297,0.7936641916083581,0.7761030807343683
1.3695675069794868,0.7728771489667983,0.8238837612134686,0.7901986682497741,0.7714196992176541
1.278644832541816,0.7692620350132966,0.819874014685642,0.7869677607245507,0.767106946905938
1.1937583211152918,0.7659699413450234,0.8159989440746442,0.7839678134791358,0.7631590490188592
1.1145072446733535,0.7629957553168435,0.8122564177800695,0.7811951709599778,0.7595702307760573
1.0405174786709839,0.760334364283622,0.8086443042015122,0.7786461776135245,0.7563347173971716
0.9714397358961434,0.757980655600223,0.8051604717385668,0.776317177886224,0.7534467341018416
0.9069479175720501,0.7559295166215115,0.8018027887908274,0.7742045162245245,0.7509005061097063
0.8467375739262712,0.7541758347023523,0.7985691237578887,0.772304537074874,0.7486902586404056
0.790524466959362,0.7527144971976099,0.7954573450393453,0.7706135848837206,0.7468102169135785
0.7380432286282336,0.7515403914621488,0.7924653210347908,0.7691280040975123,0.7452546061488645
0.6890461081098816,0.750648404850834,0.7895909201438205,0.7678441391626971,0.7440176515659032
0.6433018022316049,0.7500334247185302,0.7868320107660283,0.7667583345257232,0.7430935783843334
0.6005943635464759,0.7496903384201019,0.7841864613010081,0.7658669346330386,0.7424766118237953
0.5607221808993633,0.7496140333104139,0.7816521401483552,0.7651662839310914,0.7421609771039276
0.5234970276710037,0.7497993967443308,0.7792269157076633,0.7646527268663298,0.74214089944437
0.4887431732071276,0.7502413160767174,0.7769086563785272,0.7643226078852017,0.7424106040647618
0.45629655323791446,0.7509346786624383,0.7746952305605411,0.7641722714341551,0.7429643161847425
0.4260039953715399,0.7518743718563583,0.7725845066532993,0.7641980619596382,0.7437962610239512
0.39772249600555504,0.7530552830133421,0.7705743530563965,0.7643963239080992,0.7449006638020277
0.3713185452425845,0.7544722994882542,0.7686626381694268,0.7647634017259859,0.746271749738611
0.3466674966234331,0.7561203086359595,0.7668472303919842,0.7652956398597466,0.7479037440533407
0.3236529787022752,0.7579941978113226,0.7651259981236639,0.7659893827558291,0.7497908719658561
0.30216634568611217,0.7600888543692081,0.7634968097640599,0.7668409748606817,0.7519273586957967
0.2821061645451103,0.7623991656644807,0.7619575337127664,0.7678467606207523,0.7543074294628018
0.2633777361725909,0.7649200190520054,0.7605060383693779,0.7690030844824891,0.7569253094865107
0.24589264833419341,0.7676463018866464,0.7591401921334888,0.7703062908923403,0.7597752239865629
0.22956835829578986,0.7705729015232687,0.7578578634046934,0.7717527242967536,0.7628513981825978
0.21432780315984548,0.7736947053167371,0.7566569205825864,0.7733387291421773,0.7661480572942547
0.20009903607072102,0.777006600621916,0.7555352320667619,0.7750606498750594,0.7696594265411731
0.18681488657152986,0.7805034747936702,0.7544906662568138,0.7769148309418481,0.7733797311429923
0.17441264350918192,0.7841802151868644,0.7535210915523375,0.7788976167889913,0.7773031963193516
0.1628337589906866,0.7880317091563633,0.7526243763529269,0.7810053518629371,0.7814240472898906
0.15202357199316888,0.7920528440570315,0.7517983890581761,0.7832343806101336,0.7857365092742485
0.14193105032282682,0.7962385072437339,0.75104099806768,0.7855810474770291,0.7902348074920648
0.13250854970468662,0.8005835860713351,0.7503500717810323,0.7880416969100712,0.7949131671629788
0.12371158886587513,0.8050829678946996,0.7497234785978282,0.7906126733557083,0.7997658135066299
0.1154986395506374,0.8097315400686924,0.7491590869176613,0.7932903212603883,0.8047869717426575
0.10783093047580912,0.8145241899481779,0.7486547651401267,0.7960709850705595,0.8099708670907009
0.10067226430126917,0.8194558048880209,0.7482083816648182,0.7989510092326697,0.8153117247703996
0.09398884675133412,0.824521272243086,0.7478178048913302,0.8019267381931672,0.820803770001393
0.08774912708042071,0.8297154793682383,0.7474809032192575,0.8049945163984998,0.8264412280033205
0.0819236491298531,0.835033313618342,0.7471955450481942,0.8081506882951159,0.8322183239958214
0.07648491227269195,0.840469662348262,0.7469595987777348,0.8113915983294633,0.8381292831985351
0.07140724159014122,0.846019412912863,0.7467709328074734,0.8147135909479902,0.844168330831101
0.06666666666666667,0.8516774526670097,0.7466274155370045,0.8181130105971446,0.8503296921131585
