Bin,n_obs,n_Serien,Anteil_obs,kum_von_links
> 72 h,1923,744,0.001489306500516959,0.001489306500516959
48-72 h,36387,11728,0.028180652955959742,0.029669959456476703
24-48 h,174795,49483,0.1353735464159448,0.1650435058724215
12-24 h,325960,111006,0.252446358246754,0.4174898641191755
6-12 h,244708,100656,0.1895190926305273,0.6070089567497028
3-6 h,164780,81786,0.12761722576972673,0.7346261825194296
1-3 h,173715,90036,0.13453711842813496,0.8691633009475646
< 1 h,168937,93526,0.13083669905243553,1.0
