Option,Spalten,24h,6h,1h,min 36-48h,beta1 45.5h,monoton 48->24h,Knick (Delta zu 34h)
aktuell: cr k=6,5,1.2441811225618835,0.932466722412799,0.757980655600223,0.8246606585225171,0.8246606585225171,False,0.2544173088965187
(b) cr k=4,3,1.142136384050593,0.9429736394036208,0.8051604717385668,1.1243819029271773,1.211544804237353,False,0.07649009844331389
(c) ns df=4,4,1.1728077070354956,0.9244867302139095,0.776317177886224,1.003574805372452,1.0830883584216608,False,0.136501223121684
(c) ns df=3,3,1.1329042821707342,0.9557461401034172,0.7534467341018416,1.075007140242178,1.1037555266827153,False,0.04852161409495026
