hours,beta_1,se_boot,se_sandwich,pw_lo,pw_up,sim_lo,sim_up
59.899999999999984,1.0035748053725435,0.2751567480529201,0.3006912759476371,0.46427748483175,1.5428721259133371,0.27431671031773,1.732832900427357
55.9233663758364,1.0253199633547154,0.24917169002241477,0.274268538753258,0.5369524210916232,1.5136875056178076,0.36493102761839535,1.6857088990910354
52.21073300177015,1.0458672809158631,0.22489241041353336,0.2495423225518139,0.6050862526321126,1.4866483091996137,0.4498266169270734,1.641907944904653
48.74457346258709,1.0651467489676467,0.20250665444113214,0.2266690123360497,0.6682409965025876,1.462052501432706,0.5284358810762272,1.6018576168590664
45.5085248845097,1.0830883584217257,0.1822242692357233,0.2058134081179418,0.7259353507934005,1.4402413660500508,0.6001326453746993,1.566044071468752
42.48731069015536,1.0996221001897586,0.1642718189062578,0.1871416295330438,0.7776552489189739,1.4215889514605433,0.6642464295057646,1.5349977708737526
39.66666848162854,1.1146779651834058,0.14887618777329448,0.1708070740643486,0.8228859966905084,1.4064699336763031,0.7201059044840452,1.5092500258827664
37.03328271130145,1.1281859443143267,0.1362310783412424,0.1569272097216229,0.8611779350843118,1.3951939535443416,0.7671276843174095,1.489244204311244
34.57472182243806,1.1400760284941804,0.12644430693719833,0.1455514543664622,0.8922497388923214,1.3879023180960395,0.804956010322528,1.475196046665833
32.27937956291871,1.1502782086346266,0.11947617888381495,0.136625826165129,0.9161091991647892,1.384447218104464,0.8336260776809574,1.4669303395882958
30.13642019502153,1.1587224756473251,0.11509577872713257,0.1299666127558762,0.9331388927901795,1.3843060585044709,0.8536798810631787,1.4637650702314715
28.13572734261011,1.1653388204439348,0.11288534849563511,0.1252573519939797,0.9440876012650358,1.3865900396228337,0.8661546107668646,1.464523030121005
26.26785623424747,1.1700572339361153,0.11229940108678431,0.1220757720244968,0.9499544505844572,1.3901600172877733,0.8724259823246008,1.4676884855476298
24.52398911678833,1.1728077070355265,0.11275181696187757,0.1199431852636807,0.9518182048556572,1.3937972092153958,0.8739774009157082,1.4716380131553448
22.895893628967933,1.1735202306538275,0.11369361641083423,0.1183792307640811,0.9506848354587831,1.3963556258488719,0.8721938386595762,1.4748466226480788
21.37588393848001,1.172124795702678,0.1146612087244102,0.11694682875178,0.947392954406348,1.3968566369990079,0.8682339580519735,1.4760156333533825
19.956784459081383,1.168551393093737,0.11529682662584158,0.1152817192501741,0.9425737635928461,1.394529022594628,0.8629759538359099,1.4741268323515642
18.631895976440852,1.1627300137386645,0.11535322133883763,0.1131097936902175,0.9366418526305109,1.388818174846818,0.8570051094894763,1.4684549179878528
17.394964022820947,1.1545907558385764,0.11469474482546345,0.1102598572102061,0.9297931849914818,1.379388326685671,0.8506110362202564,1.4585704754568964
16.240149351297315,1.1441603067428434,0.11335562446319039,0.1067391187874486,0.9219873635974709,1.366333249888216,0.8437297072945746,1.4445909061911122
15.16200037013192,1.131739795077788,0.1116174885076148,0.1028384274304494,0.9129735358324493,1.3505060543231269,0.8359158415681665,1.4275637485874098
14.155427407169537,1.1176787627876552,0.10982566771593294,0.0989463352396144,0.9024244077884644,1.332933117786846,0.8266037381212041,1.4087537874541063
13.215678682766251,1.1023267518166904,0.10831349652372953,0.0954695708666783,0.8900361979160554,1.3146173057173254,0.8152594903282331,1.3893940133051477
12.338317877824178,1.086033304109138,0.10735462860620834,0.0927739021356867,0.8756220968075994,1.2964445114106764,0.8015073656879463,1.3705592425303295
11.519203191036633,1.0691479616092432,0.10711897461045927,0.0911160242258664,0.859198627655829,1.2790972955626574,0.7852465856792429,1.3530493375392436
10.75446778647823,1.052020266261252,0.10764241434836842,0.0905829923947401,0.8410450092653663,1.2629955232571375,0.766731598655344,1.3373089338671598
10.04050153923794,1.0349997600094083,0.10882016030819719,0.0910643593443403,0.8217161633311129,1.2482833566877036,0.7465896687742386,1.323409851244578
9.373933992920747,1.018435984797958,0.1104262944168396,0.0922721354149942,0.8020044230875514,1.2348675465083647,0.725769096995888,1.3111028726000282
8.751618448564514,1.0026449840676446,0.11216231533816841,0.0938110585715993,0.7828108838481866,1.2224790842871025,0.7053770558803317,1.2999129122549573
8.17061710985981,0.98770013723235,0.1137859660688293,0.0953495423106543,0.764683740032223,1.2107165344324768,0.6861289875276481,1.2892712869370517
7.628187214547043,0.973567953315858,0.11514936186219431,0.0966783577573014,0.7478793494429842,1.1992565571887317,0.6683833453692238,1.2787525612624921
7.121768086520624,0.9602144764869726,0.11616799241656077,0.0976741095738839,0.7325293933982404,1.1878995595757047,0.6523301543487059,1.2680987986252392
6.6489690475164025,0.9476057509144972,0.11680495759710124,0.0982774895658977,0.7186722390026522,1.176539262826342,0.6380332564255098,1.2571782454034846
6.207558131316462,0.9357078207672348,0.11705859616701819,0.0984760804882651,0.7062771863893411,1.1651384551451285,0.6254630986056973,1.2459525429287723
5.795451547193873,0.9244867302139896,0.11695299823505595,0.0982914372457824,0.6952630639812164,1.1537103964467628,0.6145218781528565,1.2344515822751227
5.410703842856947,0.9139085234235648,0.11653072406339973,0.097769495586637,0.6855124993653676,1.142304547481762,0.6050628402005284,1.2227542066466013
5.051498720454676,0.9039392445647636,0.11584707790689541,0.0969732879819608,0.6768831423620533,1.130995346767474,0.5969054540076777,1.2109730351218495
4.716140462288077,0.8945449378063898,0.11496540542120905,0.0959771060132662,0.6692168819354152,1.1198729936773644,0.5898478764115858,1.1992419992011938
4.403045925750296,0.8856916473172467,0.11395301953201864,0.0948614516877675,0.6623478313431933,1.1090354632913,0.5836777496472494,1.187705544987244
4.110737069705638,0.8773454172661379,0.11287749066089979,0.0937083186725045,0.6561095991604381,1.0985812353718378,0.5781820334987752,1.1765088010335005
3.837833977026388,0.8694722918218669,0.11180316135016549,0.0925965417778378,0.6503421204893511,1.0886024631543827,0.5731562427179338,1.1657883409258
3.583048340348584,0.862038315153237,0.11078786413341546,0.09159716093961,0.6448980898148515,1.0791785404916225,0.5684131457731011,1.155663484533373
3.345177380294599,0.8550095314290518,0.10987993124308267,0.0907689615524848,0.6396488218701345,1.0703702409879692,0.563790690131825,1.1462283727262785
3.1230981674520137,0.8483519848181148,0.10911567384699986,0.0901545469425628,0.6344891922422535,1.062214777393976,0.5591586831332828,1.137545286502947
2.915762321304212,0.8420317194892294,0.10851756004267045,0.0897774184254651,0.6293412084377569,1.054722230540702,0.5544236209173785,1.1296398180610803
2.7221910610877256,0.836014780672989,0.10809331925640668,0.0896405302418238,0.6241557662899251,1.0478737950560528,0.5495310631305859,1.122498498215392
2.5414705852126174,0.8302732149043224,0.10783342859869151,0.0897250902688186,0.6189235768543165,1.041622852954328,0.544478295173745,1.1160681346348997
2.3727477574333333,0.8247991649509838,0.1077110697899677,0.0899956571253204,0.6136893457611596,1.035908984140808,0.539328537291724,1.1102697926102436
2.2152260794054857,0.8195889752594211,0.10769827323196393,0.0904163947591404,0.6085042368626081,1.030673713656234,0.5341522627906086,1.1050256877282336
2.068161930616038,0.8146389902760824,0.10776909183337822,0.0909540504195642,0.6034154499699671,1.0258625305821978,0.5290145846515423,1.1002633959006225
