Fassung,brier_early,brier_late,diff,se_cluster,t,n
"echte Beobachtungen, erste vs. letzte",0.20427966609361253,0.2031492734121465,-0.0011303926814661177,0.00025777809817083833,-4.3851385726221315,175166
"imputiertes Perzentilraster, OddsMvt0 vs. OddsMvt50",0.20791325191275004,0.20329787891279988,-0.004615372999950227,0.00039809452390134184,-11.593661110229279,174392
