HMAX_h,Gitterpunkte,c_sup,sup_t_level,p_level,sup_t_shape,p_shape
48.0,96,2.6202199508486954,2.5089371712578092,0.06626,3.9984815483755343,0.00063
36.0,92,2.559424989229244,2.5089371712578092,0.057065,4.09100199227997,0.00039
24.0,86,2.457972215854153,2.5089371712578092,0.04393,4.1057913342288614,0.000285
