model,p,secs,beta1_grid_mean,beta1_obs_mean,beta1_far,beta1_end,se_end,resid_sd
M_a ohne REs,17,3.91327166557312,0.8986854975274562,0.9846719554853071,1.0549212068025275,0.807433882956303,0.04509164766492293,0.4588763721664427
M_b + Bookmaker-Intercept,41,4.062362194061279,0.898784136376548,0.9848096158632298,1.0550264170102992,0.8074183316864478,0.045091605335932,0.45886497192190934
M_c + Bookmaker-Slope,65,3.1465468406677246,0.9010919779768148,0.9880622305152653,1.054394800057161,0.8128823985294913,0.05260458043737527,0.45883361072784834
