hours,beta_1,se_boot,se_sandwich,se_model,pw_lo,pw_up,sim_lo,sim_up,excl_1_pointwise,excl_1_simultaneous
45.5085248845097,0.8246606585224847,0.23999045255308565,0.2569933779958955,0.0488455721461551,0.3542880148849682,1.2950333021600011,0.19671251032095782,1.4526088067240117,False,False
42.48731069015536,0.8533561796423346,0.2189132563565934,0.2341542612487018,0.0460387138486279,0.42429408144502745,1.2824182778396418,0.2805576683537174,1.4261546909309517,False,False
39.66666848162854,0.9180440215864692,0.18789082561191492,0.2037369821773926,0.0417654276317933,0.5497847703616201,1.2863032728113184,0.42641739747749696,1.4096706456954415,False,False
37.03328271130145,0.9996432565301184,0.15428959851517657,0.1717336566294928,0.0373596000313045,0.6972412002512278,1.302045312809009,0.5959360813335088,1.403350431726728,False,False
34.57472182243806,1.0790779674190023,0.1275854770415819,0.1455183321985377,0.0341689923323956,0.8290150274671398,1.3291409073708649,0.7452435869536045,1.4129123478844001,False,False
32.27937956291871,1.1420794661415936,0.11324376199898792,0.129190639013288,0.0326093963041982,0.9201257711497517,1.3640331611334355,0.845770967673684,1.4383879646095032,False,False
30.13642019502153,1.1881449221332576,0.10875344727379145,0.1208358678732762,0.0321104550302534,0.9749920822820506,1.4012977619844647,0.9035855777943251,1.47270426647219,False,False
28.13572734261011,1.2192199442779104,0.1096132066073709,0.1172956364692363,0.0320981839250229,1.0043820070975156,1.4340578814583052,0.9324109926080331,1.5060288959477877,True,False
26.26785623424747,1.2372501414594703,0.11216921815794134,0.1158671071249193,0.0321923222029992,1.017402513695889,1.4570977692230516,0.9437532457364546,1.530747037182486,True,False
24.52398911678833,1.2441811225618544,0.1143412700780657,0.1147954685234299,0.0321905627649071,1.0200763512622784,1.4682858938614305,0.9450009341639437,1.543361310959765,True,False
22.895893628967933,1.2419584964689805,0.11527575506183133,0.1132061077814246,0.0320176167709974,1.0160221682571302,1.4678948246808308,0.9403331769884158,1.5435838159495452,True,False
21.37588393848001,1.2325278720647648,0.11484929740046654,0.1108379784645361,0.0316774550603434,1.0074273855101208,1.4576283586194088,0.9320184023852713,1.5330373417442582,True,False
