hours,boot_sd,boot_mean
59.899999999999984,0.3691500568159224,1.3662269283875421
55.9233663758364,0.2968430740453368,1.1458425214543615
52.21073300177015,0.2654021605418286,0.9603998893862621
48.74457346258709,0.25733476623904356,0.8571716367705021
45.508524884509704,0.24471459450820315,0.8296326622592254
42.48731069015536,0.2191771399878061,0.8583152037087101
39.66666848162854,0.1836233671913384,0.9237514989752336
37.03328271130145,0.14612811624150618,1.006473785915073
34.57472182243806,0.1170195048186019,1.0870194143051384
32.27937956291871,0.10271471930479162,1.1508300042095225
30.136420195021532,0.10030910305120636,1.1973909183450495
28.13572734261011,0.103900378990591,1.2286853844107368
26.26785623424747,0.10885042632056072,1.2466966301056028
24.52398911678833,0.11277839169382343,1.2534078831286664
22.895893628967933,0.11485097034144563,1.2508023711789449
21.375883938480012,0.11505641097117705,1.240863321955458
19.956784459081383,0.11378671452919845,1.2255739631572227
18.631895976440855,0.1116167139395666,1.206917522483259
17.394964022820947,0.10917912698803471,1.1868772193045165
16.240149351297315,0.10698204461556712,1.167074893085865
15.162000370131919,0.10510712294329935,1.1478083470766494
14.155427407169535,0.10353932625638416,1.1290722331366343
13.215678682766251,0.10226142437956644,1.1108612031255836
12.338317877824178,0.10125428970648731,1.0931699089032607
11.519203191036633,0.10049726923787361,1.0759930023294304
10.75446778647823,0.09996860534830251,1.0593251352638569
10.040501539237939,0.09964587639054077,1.0431609595663032
9.373933992920747,0.09950642935046063,1.027495127096535
8.751618448564514,0.09952778093370174,1.0123222897143151
8.17061710985981,0.09968796958464578,0.9976370992794079
7.628187214547043,0.09996584777047535,0.9834342076515779
7.121768086520624,0.10034131033474576,0.9697082666905886
6.6489690475164025,0.10079546009977905,0.9564539282562052
6.207558131316462,0.1013107158179799,0.9436658442081903
5.795451547193873,0.1018708700046878,0.9313386664063095
5.410703842856947,0.1024611053142891,0.9194670467103251
5.051498720454676,0.10306797824205595,0.9080456369800024
4.716140462288077,0.10367937836460835,0.897069089075106
4.403045925750296,0.10428447035717171,0.8865320548553984
4.110737069705638,0.10487362487113157,0.876429186180645
3.837833977026388,0.10543834318040635,0.8667551349106094
3.5830483403485838,0.10597117941052342,0.8575045529050556
3.345177380294599,0.10646566320420454,0.8486720920237477
3.1230981674520137,0.10691622487260295,0.8402524041264501
2.9157623213042116,0.10731812443146041,0.8322401410729272
2.7221910610877256,0.10766738541317221,0.824629954722942
2.5414705852126174,0.10796073396000548,0.8174164969362598
2.3727477574333333,0.1081955434196453,0.8105944195726437
2.2152260794054857,0.10836978446183769,0.8041583744918583
2.068161930616038,0.10848198059626184,0.7981030135536678
1.9308610579365264,0.1085311688816372,0.7924229886178356
1.8026752982273702,0.10851686556189355,0.7871129515441265
1.6829995185215267,0.10843903633691802,0.7821675541923042
1.5712687593428318,0.10829807096498316,0.7775814484221332
1.4669555676733752,0.1080947618952618,0.7733492860933774
1.3695675069794868,0.10783028663704738,0.7694657190658012
1.278644832541816,0.1075061935837177,0.7659253991991675
1.1937583211152918,0.1071243910211768,0.7627229783532414
1.1145072446733535,0.10668713906018357,0.759853108387787
1.0405174786709839,0.10619704423764795,0.7573104411625684
0.9714397358961434,0.10565705653201733,0.7550896285373488
0.9069479175720501,0.10507046853071789,0.7531853223718938
0.8467375739262712,0.10444091647185562,0.7515921745259666
0.790524466959362,0.1037723828566422,0.7503048368593314
0.7380432286282336,0.10306920029198428,0.7493179612317519
0.6890461081098816,0.10233605617323795,0.7486261995029928
0.6433018022316049,0.10157799775436485,0.7482242035328176
0.6005943635464759,0.10080043707621124,0.7481066251809912
0.5607221808993633,0.10000915513362192,0.7482681163072772
0.5234970276710037,0.09921030455995841,0.7487033287714396
0.4887431732071276,0.0984104099961284,0.7494069144332426
0.45629655323791446,0.09761636519534982,0.7503735251524501
0.4260039953715399,0.0968354258019573,0.7515978127888269
0.39772249600555504,0.09607519664312576,0.7530744292021362
0.3713185452425845,0.09534361230035143,0.7547980262521429
0.3466674966234331,0.09464890970029394,0.7567632557986106
0.3236529787022752,0.09399959150254485,0.7589647697013031
0.30216634568611217,0.09340437918720447,0.7613972198199851
0.2821061645451103,0.09287215497951838,0.7640552580144205
0.2633777361725909,0.09241189211018645,0.7669335361443733
0.24589264833419341,0.09203257340812156,0.7700267060696078
0.22956835829578986,0.09174309885414277,0.7733294196498877
0.21432780315984548,0.09155218346813536,0.7768363287449774
0.20009903607072102,0.09146824771596157,0.7805420852146411
0.18681488657152986,0.09149930344102992,0.7844413409186426
0.17441264350918192,0.09165283906526774,0.7885287477167457
0.1628337589906866,0.0919357083711547,0.7927989574687156
0.15202357199316888,0.09235402747883234,0.797246622034315
0.14193105032282682,0.09291308459703158,0.8018663932733092
0.13250854970468662,0.0936172667150257,0.8066529230454617
0.12371158886587513,0.09447000662275626,0.8116008632105369
0.1154986395506374,0.09547375255607571,0.8167048656282984
0.10783093047580912,0.09662996146721352,0.8219595821585104
0.10067226430126917,0.09793911555087469,0.8273596646609375
0.09398884675133412,0.09940076035643199,0.832899764995343
0.08774912708042071,0.10101356171503999,0.8385745350214922
0.0819236491298531,0.10277537790224427,0.8443786265991473
0.07648491227269195,0.10468334299178979,0.850306691588074
0.07140724159014122,0.10673395723744337,0.8563533818480364
0.06666666666666667,0.1089231805084593,0.8625133492387975
