h_lo,h_up,h_mid,n,brier,rmse
0.06666666666666667,0.08990575465400574,0.07741909956163089,6308,0.20368423591401097,0.4513138995355793
0.08990575465400574,0.12124567079859414,0.10440633856083045,7743,0.20441183747843802,0.45211927350914605
0.12124567079859414,0.1635102529751813,0.14080095988459623,7335,0.20774409452678508,0.45578952875947587
0.1635102529751813,0.2205076903110159,0.1898822483164952,15702,0.21045042521959909,0.4587487604556541
0.2205076903110159,0.2973736545663551,0.25607260245440716,14797,0.20536675738111138,0.4531740916922672
0.2973736545663551,0.4010340424201167,0.3453360085481802,22695,0.20907500496988088,0.45724720334834296
0.4010340424201167,0.5408290233859071,0.4657154168658948,21385,0.2095886889964071,0.45780857243656664
0.5408290233859071,0.7293546222944836,0.6280574401099972,26424,0.20564269244899952,0.4534784365865697
0.7293546222944836,0.9835976659165929,0.8469896717872847,34296,0.20354347356584296,0.45115792530536686
0.9835976659165929,1.3264663564522488,1.142238684392767,38368,0.20955988194521089,0.4577771094596265
1.3264663564522488,1.788854381999832,1.5404074637299563,45800,0.20770659430797817,0.45574838925439787
1.788854381999832,2.412424547697299,2.0773724325195704,49345,0.20992462925468053,0.45817532589029775
2.412424547697299,3.2533627425986125,2.801516043646494,58397,0.20774072670781393,0.4557858342553155
3.2533627425986125,4.387440488048312,3.778086211190138,65623,0.21117266114164765,0.4595352664830499
4.387440488048312,5.916842221162841,5.09507537947414,78311,0.21531008567192414,0.4640151782775259
5.916842221162841,7.979372475934931,6.871148955160008,94398,0.21028936727541991,0.4585731863895009
7.979372475934931,10.760872561714983,9.266337482306154,103077,0.21279120934256915,0.46129297560505855
10.760872561714983,14.511965525948543,12.496455963381514,162415,0.2135434460164368,0.4621076130258371
14.511965525948543,19.570638181849787,16.85254955832548,153617,0.2118783770952573,0.4603024843461713
19.570638181849787,26.39269492199556,22.727117788279255,85416,0.21293043226061792,0.4614438560221795
26.39269492199556,35.59282731472434,30.64948013798586,72237,0.2137568865194127,0.4623384977691266
35.59282731472434,48.00000000000001,41.33346962337868,79034,0.20708254327486883,0.4550632299745485
