label,n,p,secs,peak_gb,m
m=400 Matchups,25831,465,3.2550153732299805,2.0518798828125,400
m=800 Matchups,50677,865,4.753970146179199,2.0518798828125,800
"m=1,600 Matchups",102847,1665,37.277114391326904,2.0518798828125,1600
"m=3,200 Matchups",201538,3265,344.0294551849365,3.7791976928710938,3200
