hours,beta_1,se,model
59.899999999999984,0.6761301029732789,0.1550809973169155,Hauptspezifikation
55.9233663758364,0.665217021199997,0.1550718291700564,Hauptspezifikation
52.21073300177015,0.6549026933554953,0.1550680330622945,Hauptspezifikation
48.74457346258709,0.6455008442807725,0.1550672818619463,Hauptspezifikation
45.508524884509704,0.6368975339932654,0.15506674092981687,Hauptspezifikation
42.48731069015536,0.6288759348379831,0.15506551020009027,Hauptspezifikation
39.66666848162854,0.6212192191599331,0.15506382864550852,Hauptspezifikation
37.03328271130145,0.6137105593041241,0.15506227036324466,Hauptspezifikation
34.57472182243806,0.6061331904177145,0.15506124295022775,Hauptspezifikation
32.27937956291871,0.598330598723828,0.15506076483220202,Hauptspezifikation
30.136420195021532,0.5903188038819334,0.1550606083310251,Hauptspezifikation
28.13572734261011,0.5821445129002756,0.15506059646328244,Hauptspezifikation
26.26785623424747,0.5738544327870989,0.15506062026934384,Hauptspezifikation
24.52398911678833,0.5654952705506483,0.15506062145315144,Hauptspezifikation
22.895893628967933,0.5571137331991681,0.15506057739889587,Hauptspezifikation
21.375883938480012,0.5487565277409033,0.1550604885652893,Hauptspezifikation
19.956784459081383,0.5404703611840982,0.15506036825760167,Hauptspezifikation
18.631895976440855,0.5323019405369979,0.15506023477743378,Hauptspezifikation
17.394964022820947,0.5242979726035588,0.15506010595012307,Hauptspezifikation
16.240149351297315,0.5164962995238374,0.15505999373382623,Hauptspezifikation
15.162000370131919,0.5089022847752819,0.1550598987653485,Hauptspezifikation
14.155427407169535,0.5015138555193355,0.15505981948268616,Hauptspezifikation
13.215678682766251,0.49432893891744095,0.15505975440737446,Hauptspezifikation
12.338317877824178,0.487345462131041,0.15505970214236803,Hauptspezifikation
11.519203191036633,0.480561352321579,0.15505966136994262,Hauptspezifikation
10.75446778647823,0.4739745366504975,0.15505963084961805,Hauptspezifikation
10.040501539237939,0.46758294227923963,0.15505960941610245,Hauptspezifikation
9.373933992920747,0.46138449636924844,0.15505959597725785,Hauptspezifikation
8.751618448564514,0.4553771260819666,0.15505958951208718,Hauptspezifikation
8.17061710985981,0.4495587585788373,0.15505958906874248,Hauptspezifikation
7.628187214547043,0.4439273210213033,0.15505959376255465,Hauptspezifikation
7.121768086520624,0.43848074057080744,0.15505960277408462,Hauptspezifikation
6.6489690475164025,0.43321694438879293,0.15505961534719565,Hauptspezifikation
6.207558131316462,0.42813385963670275,0.15505963078714743,Hauptspezifikation
5.795451547193873,0.4232294134759795,0.15505964845871148,Hauptspezifikation
5.410703842856947,0.4185015330680662,0.1550596677843078,Hauptspezifikation
5.051498720454676,0.413948145574406,0.15505968824216337,Hauptspezifikation
4.716140462288077,0.4095671781564416,0.15505970936449176,Hauptspezifikation
4.403045925750296,0.4053565579756162,0.15505973073569446,Hauptspezifikation
4.110737069705638,0.4013142121933726,0.15505975199058347,Hauptspezifikation
3.837833977026388,0.39743806797115366,0.15505977281262565,Hauptspezifikation
3.5830483403485838,0.3937260524704023,0.1550597929322083,Hauptspezifikation
3.345177380294599,0.39017609285256166,0.15505981212492645,Hauptspezifikation
3.1230981674520137,0.3867861162790746,0.15505983020989136,Hauptspezifikation
2.9157623213042116,0.3835540499113838,0.1550598470480609,Hauptspezifikation
2.7221910610877256,0.38047782091093263,0.15505986254059104,Hauptspezifikation
2.5414705852126174,0.37755535643916366,0.1550598766272092,Hauptspezifikation
