grp,var1,var2,vcov,sdcor
Matchup,(Intercept),NA_character_,0.1936519925807367,0.44005907851189335
Bookies,(Intercept),NA_character_,2.939301196139521e-08,0.00017144390324941628
Bookies,Exog,NA_character_,0.5770355409460509,0.7596285545883928
Bookies,(Intercept),Exog,-5.079700608087779e-05,-0.39004506635705594
Residual,NA_character_,NA_character_,0.00022609018512561856,0.01503629559185435
