hours,beta_1,se
24.0,0.5628602606128984,0.15506061281131425
12.0,0.48457578685055774,0.1550596843275463
6.0,0.4256836389521719,0.15505963929411082
3.0,0.38487505182223974,0.15505984022540076
1.0,0.35202676198149924,0.15505996824942203
0.25,0.3546153192942115,0.15506086252309662
