hours,beta_1,se_sandwich,se_boot,ratio
59.899999999999984,1.0035748053725435,0.3006912759476371,0.2751567480529201,0.915080582852814
55.9233663758364,1.0253199633547154,0.274268538753258,0.24917169002241477,0.9084953423935317
52.21073300177015,1.0458672809158631,0.2495423225518139,0.22489241041353336,0.9012195130420718
48.74457346258709,1.0651467489676467,0.2266690123360497,0.20250665444113214,0.8934024653573048
45.5085248845097,1.0830883584217257,0.2058134081179418,0.1822242692357233,0.8853858011587822
42.48731069015536,1.0996221001897586,0.1871416295330438,0.1642718189062578,0.8777941034079333
39.66666848162854,1.1146779651834058,0.1708070740643486,0.14887618777329448,0.871604344192489
37.03328271130145,1.1281859443143267,0.1569272097216229,0.1362310783412424,0.8681163616106226
34.57472182243806,1.1400760284941804,0.1455514543664622,0.12644430693719833,0.8687258226829061
32.27937956291871,1.1502782086346266,0.136625826165129,0.11947617888381495,0.8744772656628872
30.13642019502153,1.1587224756473251,0.1299666127558762,0.11509577872713257,0.8855795829912381
28.13572734261011,1.1653388204439348,0.1252573519939797,0.11288534849563511,0.901227326768498
26.26785623424747,1.1700572339361153,0.1220757720244968,0.11229940108678431,0.919915551009166
24.52398911678833,1.1728077070355265,0.1199431852636807,0.11275181696187757,0.940043544066353
22.895893628967933,1.1735202306538275,0.1183792307640811,0.11369361641083423,0.960418611246217
21.37588393848001,1.172124795702678,0.11694682875178,0.1146612087244102,0.9804559041765807
19.956784459081383,1.168551393093737,0.1152817192501741,0.11529682662584158,1.0001310474528464
18.631895976440852,1.1627300137386645,0.1131097936902175,0.11535322133883763,1.0198340707327642
17.394964022820947,1.1545907558385764,0.1102598572102061,0.11469474482546345,1.0402221418335633
16.240149351297315,1.1441603067428434,0.1067391187874486,0.11335562446319039,1.0619876363127687
15.16200037013192,1.131739795077788,0.1028384274304494,0.1116174885076148,1.0853675157868663
14.155427407169537,1.1176787627876552,0.0989463352396144,0.10982566771593294,1.1099518486457582
13.215678682766251,1.1023267518166904,0.0954695708666783,0.10831349652372953,1.1345342347352494
12.338317877824178,1.086033304109138,0.0927739021356867,0.10735462860620834,1.1571640960967295
11.519203191036633,1.0691479616092432,0.0911160242258664,0.10711897461045927,1.1756326674759574
10.75446778647823,1.052020266261252,0.0905829923947401,0.10764241434836842,1.188329194064237
10.04050153923794,1.0349997600094083,0.0910643593443403,0.10882016030819719,1.194980792614124
9.373933992920747,1.018435984797958,0.0922721354149942,0.1104262944168396,1.1967458422870243
